Date,HomeTeam,HomeTeamScore,VisitorScore,VisitorTeam
3/17/2012,Montreal Impact,1,1,Chicago Fire
3/24/2012,Chicago Fire,1,0,Philadelphia Union
4/1/2012,Colorado Rapids,2,0,Chicago Fire
4/15/2012,Chicago Fire,1,1,Houston Dynamo
4/21/2012,Toronto FC,2,3,Chicago Fire
4/28/2012,Chicago Fire,1,2,Seattle Sounders FC
5/4/2012,Chivas,1,2,Chicago Fire
5/9/2012,Chicago Fire,0,0,Real Salt Lake
5/12/2012,Chicago Fire,2,1,Sporting Kansas City
5/20/2012,Portland Timbers,2,1,Chicago Fire
5/23/2012,Chicago Fire,2,1,FC Dallas
5/26/2012,Columbus Crew,2,1,Chicago Fire
6/2/2012,New England Revolution,2,0,Chicago Fire
6/17/2012,Chicago Fire,3,1,New York Red Bulls
6/23/2012,Chicago Fire,2,1,Columbus Crew
6/29/2012,Sporting Kansas City,0,1,Chicago Fire
7/3/2012,Houston Dynamo,0,0,Chicago Fire
7/8/2012,Chicago Fire,0,2,Los Angeles Galaxy
7/14/2012,Chicago Fire,1,0,Vancouver Whitecaps FC
7/18/2012,New York Red Bulls,1,0,Chicago Fire
7/28/2012,San Jose,1,1,Chicago Fire
8/4/2012,Chicago Fire,2,1,Toronto FC
8/12/2012,Philadelphia Union,1,3,Chicago Fire
8/18/2012,Chicago Fire,2,1,New England Revolution
8/22/2012,D.C. United,4,2,Chicago Fire
9/2/2012,Chicago Fire,3,1,Houston Dynamo
9/12/2012,Toronto FC,1,2,Chicago Fire
9/15/2012,Chicago Fire,3,1,Montreal Impact
9/22/2012,Chicago Fire,2,1,Columbus Crew
9/28/2012,Sporting Kansas City,2,0,Chicago Fire
10/3/2012,Chicago Fire,1,3,Philadelphia Union
10/6/2012,New York Red Bulls,0,2,Chicago Fire
10/20/2012,New England Revolution,1,0,Chicago Fire
10/27/2012,Chicago Fire,1,1,D.C. United
10/31/2012,Chicago Fire,1,2,Houston Dynamo
