3/11/2012,Chivas USA,0,1,Houston Dynamo
3/17/2012,Chivas USA,0,1,Vancouver Whitecaps FC
3/24/2012,Real Salt Lake,0,1,Chivas USA
4/1/2012,Chivas USA,0,1,Sporting Kansas City
4/7/2012,Portland Timbers,1,2,Chivas USA
4/14/2012,Toronto FC,0,1,Chivas USA
4/21/2012,Chivas USA,0,1,Philadelphia Union
4/28/2012,Colorado Rapids,4,0,Chivas USA
5/4/2012,Chivas USA,1,2,Chicago Fire
5/13/2012,San Jose,1,1,Chivas USA
5/19/2012,Chivas USA,1,0,Los Angeles Galaxy
5/23/2012,New York Red Bulls,1,1,Chivas USA
5/26/2012,Chivas USA,1,1,Seattle Sounders FC
6/16/2012,Chivas USA,0,3,Real Salt Lake
6/20/2012,Chivas USA,2,1,Montreal Impact
6/23/2012,FC Dallas,0,0,Chivas USA
7/7/2012,Chivas USA,0,0,Vancouver Whitecaps FC
7/18/2012,Chivas USA,1,0,Portland Timbers
7/21/2012,Los Angeles Galaxy,3,1,Chivas USA
7/28/2012,Portland Timbers,0,1,Chivas USA
8/12/2012,Chivas USA,0,4,Los Angeles Galaxy
8/18/2012,Colorado Rapids,1,1,Chivas USA
8/25/2012,Chivas USA,2,6,Seattle Sounders FC
8/29/2012,New England Revolution,3,3,Chivas USA
9/2/2012,San Jose,4,0,Chivas USA
9/8/2012,Seattle Sounders FC,2,1,Chivas USA
9/15/2012,Chivas USA,0,2,San Jose
9/19/2012,Columbus Crew,1,0,Chivas USA
9/23/2012,D.C. United,1,0,Chivas USA
9/29/2012,Chivas USA,0,4,Real Salt Lake
10/3/2012,Vancouver Whitecaps FC,4,0,Chivas USA
10/7/2012,Chivas USA,1,1,FC Dallas
10/20/2012,Chivas USA,0,2,Colorado Rapids
10/28/2012,FC Dallas,2,2,Chivas USA
 
