3/10/2012,Colorado Rapids,2,0,Columbus Crew
3/24/2012,Columbus Crew,2,0,Montreal Impact
3/31/2012,Toronto FC,0,1,Columbus Crew
4/7/2012,Columbus Crew,1,4,New York Red Bulls
4/14/2012,Philadelphia Union,1,0,Columbus Crew
4/21/2012,Columbus Crew,2,2,Houston Dynamo
4/28/2012,Columbus Crew,0,1,Vancouver Whitecaps FC
5/5/2012,Portland Timbers,0,0,Columbus Crew
5/12/2012,Columbus Crew,2,1,FC Dallas
5/19/2012,San Jose,1,1,Columbus Crew
5/23/2012,Seattle Sounders FC,0,2,Columbus Crew
5/26/2012,Columbus Crew,2,1,Chicago Fire
6/16/2012,New England Revolution,0,0,Columbus Crew
6/23/2012,Chicago Fire,2,1,Columbus Crew
6/30/2012,Columbus Crew,2,0,Real Salt Lake
7/8/2012,Montreal Impact,2,1,Columbus Crew
7/14/2012,Columbus Crew,0,2,Sporting Kansas City
7/21/2012,Columbus Crew,1,0,D.C. United
7/28/2012,Sporting Kansas City,1,2,Columbus Crew
8/4/2012,D.C. United,1,0,Columbus Crew
8/15/2012,Columbus Crew,1,1,Los Angeles Galaxy
8/19/2012,Houston Dynamo,2,2,Columbus Crew
8/22/2012,Columbus Crew,2,1,Toronto FC
8/25/2012,Columbus Crew,4,3,New England Revolution
8/29/2012,Philadelphia Union,1,2,Columbus Crew
9/1/2012,Columbus Crew,2,1,Montreal Impact
9/5/2012,New England Revolution,2,0,Columbus Crew
9/15/2012,New York Red Bulls,3,1,Columbus Crew
9/19/2012,Columbus Crew,1,0,Chivas USA
9/22/2012,Chicago Fire,2,1,Columbus Crew
9/29/2012,Columbus Crew,3,2,Philadelphia Union
10/7/2012,Columbus Crew,1,1,Sporting Kansas City
10/20/2012,D.C. United,3,2,Columbus Crew
10/28/2012,Columbus Crew,2,1,Toronto FC
