3/11/2012,FC Dallas,2,1,New York Red Bulls
3/17/2012,FC Dallas,1,1,Portland Timbers
3/25/2012,Sporting Kansas City,2,1,FC Dallas
3/30/2012,D.C. United,4,1,FC Dallas
4/5/2012,FC Dallas,1,0,New England Revolution
4/14/2012,FC Dallas,2,1,Montreal Impact
4/21/2012,Vancouver Whitecaps FC,1,0,FC Dallas
4/25/2012,FC Dallas,1,1,Real Salt Lake
4/28/2012,Los Angeles Galaxy,1,1,FC Dallas
5/6/2012,FC Dallas,0,2,Colorado Rapids
5/9/2012,FC Dallas,0,2,Seattle Sounders FC
5/12/2012,Columbus Crew,2,1,FC Dallas
5/19/2012,FC Dallas,1,1,Philadelphia Union
5/23/2012,Chicago Fire,2,1,FC Dallas
5/26/2012,Real Salt Lake,3,2,FC Dallas
6/16/2012,Houston Dynamo,2,1,FC Dallas
6/23/2012,FC Dallas,0,0,Chivas USA
7/4/2012,FC Dallas,1,1,Toronto FC
7/7/2012,FC Dallas,0,0,San Jose
7/14/2012,Colorado Rapids,1,2,FC Dallas
7/18/2012,San Jose,2,1,FC Dallas
7/21/2012,FC Dallas,5,0,Portland Timbers
7/28/2012,FC Dallas,0,1,Los Angeles Galaxy
8/5/2012,Portland Timbers,1,1,FC Dallas
8/11/2012,FC Dallas,3,2,Colorado Rapids
8/15/2012,Vancouver Whitecaps FC,0,2,FC Dallas
8/18/2012,Real Salt Lake,1,2,FC Dallas
8/26/2012,Los Angeles Galaxy,2,0,FC Dallas
9/2/2012,FC Dallas,1,1,Seattle Sounders FC
9/15/2012,FC Dallas,1,0,Vancouver Whitecaps FC
9/29/2012,San Jose,3,3,FC Dallas
10/7/2012,Chivas USA,1,1,FC Dallas
10/21/2012,Seattle Sounders FC,3,1,FC Dallas
10/28/2012,FC Dallas,2,2,Chivas USA
 
