Date,HomeTeam,HomeAbbr,HomeTeamScore,VisitorScore,HomeGoalDiff,VisitorTeam,VisitorAbbr,HomeWin,Draw,HomeLoss,HomePoints,VisitorPoints,HomeTimeZone,VisitorTimeZone,VisitorTimeZoneDiff,HomeConf,VisitorConf,HomeLat,HomeLong,VisitorLat,VisitorLong,NauticalMiles,HomeTeamSalary,HomeTeamAttendance,HomeTeamCapacity,FractionFull
3/10/2012,Colorado Rapids,ColRa,2,0,2,Columbus Crew,Colum,1,0,0,3,0,7,5,-2,7,5,0.693768378,-1.830274427,0.698131701,-1.44658648,1010,3430000,15175,18086,0.839046777
3/10/2012,D.C. United,DCU,0,1,-1,Sporting Kansas City,SKC,0,0,1,0,3,5,6,1,5,6,0.678060414,-1.344484719,0.682715208,-1.651662667,820,4190000,13846,19467,0.711254944
3/10/2012,Los Angeles Galaxy,LAGxy,1,3,-2,Real Salt Lake,RSL,0,0,1,0,3,8,7,-1,8,7,0.592247811,-2.066469834,0.71151314,-1.954192804,512,12630000,23136,27000,0.856888889
3/10/2012,San Jose Earthquakes,SJE,1,0,1,New England Revolution,NE,1,0,0,3,0,8,5,-3,8,5,0.652171946,-2.128132317,0.739438408,-1.239764964,2328,3210000,13293,10525,1.262992874
3/10/2012,Vancouver Whitecaps,Van,2,0,2,Montreal Impact,Mntrl,1,0,0,3,0,8,5,-3,8,5,0.860155851,-2.148797015,0.793543615,-1.287180323,1983,4370000,19475,21000,0.927380952
3/11/2012,Chivas USA,Chiv,0,1,-1,Houston Dynamo,Hou,0,0,1,0,3,8,6,-2,8,6,0.592247811,-2.066469834,0.523017581,-1.664171442,1195,3230000,13056,18800,0.694468085
3/11/2012,FC Dallas,FCDal,2,1,1,New York Red Bulls,NY,1,0,0,3,0,6,5,-1,6,5,0.573340659,-1.690351381,0.711802865,-1.290962452,1193,3450000,14199,20500,0.692634146
3/12/2012,Portland Timbers,Port,3,1,2,Philadelphia Union,Phil,1,0,0,3,0,8,5,-3,8,5,0.795870139,-2.139773663,0.696094902,-1.313360262,2084,4160000,20438,20438,1
3/17/2012,Chivas USA,Chiv,0,1,-1,Vancouver Whitecaps,Van,0,0,1,0,3,8,8,0,8,8,0.592247811,-2.066469834,0.860155851,-2.148797015,945,3230000,13056,18800,0.694468085
3/17/2012,FC Dallas,FCDal,1,1,0,Portland Timbers,Port,0,1,0,1,1,6,8,2,6,8,0.573340659,-1.690351381,0.795870139,-2.139773663,1411,3450000,14199,20500,0.692634146
3/17/2012,Montreal Impact,Mntrl,1,1,0,Chicago Fire,Chi,0,1,0,1,1,5,6,1,5,6,0.793543615,-1.287180323,0.729256157,-1.531526419,646,3030000,22772,20341,1.119512315
3/17/2012,Real Salt Lake,RSL,2,0,2,New York Red Bulls,NY,1,0,0,3,0,7,5,-2,7,5,0.71151314,-1.954192804,0.711802865,-1.290962452,1713,3520000,19087,20213,0.944293277
3/17/2012,San Jose Earthquakes,SJE,0,1,-1,Houston Dynamo,Hou,0,0,1,0,3,8,6,-2,8,6,0.652171946,-2.128132317,0.523017581,-1.664171442,1394,3210000,13293,10525,1.262992874
3/17/2012,Seattle Sounders FC,SEA,3,1,2,Toronto FC,Tor,1,0,0,3,0,8,5,-3,8,5,0.831649389,-2.134537675,0.762417413,-1.389863279,1782,3980000,43104,38500,1.119584416
3/17/2012,Sporting Kansas City,SKC,3,0,3,New England Revolution,NE,1,0,0,3,0,6,5,-1,6,5,0.682715208,-1.651662667,0.739438408,-1.239764964,1087,3120000,19404,18467,1.050739156
3/18/2012,Los Angeles Galaxy,LAGxy,3,1,2,D.C. United,DCU,1,0,0,3,0,8,5,-3,8,5,0.592247811,-2.066469834,0.678060414,-1.344484719,2002,12630000,23136,27000,0.856888889
3/18/2012,Philadelphia Union,Phil,1,2,-1,Colorado Rapids,ColRa,0,0,1,0,3,5,7,2,5,7,0.696094902,-1.313360262,0.693768378,-1.830274427,1359,3620000,18053,18500,0.975837838
3/23/2012,Seattle Sounders FC,SEA,2,0,2,Houston Dynamo,Hou,1,0,0,3,0,8,6,-2,8,6,0.831649389,-2.134537675,0.523017581,-1.664171442,1632,3980000,43104,38500,1.119584416
3/24/2012,Chicago Fire,Chi,1,0,1,Philadelphia Union,Phil,1,0,0,3,0,6,5,-1,6,5,0.729256157,-1.531526419,0.696094902,-1.313360262,578,3230000,16407,20000,0.82035
3/24/2012,Columbus Crew,Colum,2,0,2,Montreal Impact,Mntrl,1,0,0,3,0,5,5,0,5,5,0.698131701,-1.44658648,0.793543615,-1.287180323,519,3330000,14397,20145,0.714668652
3/24/2012,New England Revolution,NE,1,0,1,Portland Timbers,Port,1,0,0,3,0,5,8,3,5,8,0.739438408,-1.239764964,0.795870139,-2.139773663,2196,3260000,14001,20000,0.70005
3/24/2012,Real Salt Lake,RSL,0,1,-1,Chivas USA,Chiv,0,0,1,0,3,7,8,1,7,8,0.71151314,-1.954192804,0.592247811,-2.066469834,512,3520000,19087,20213,0.944293277
3/24/2012,Toronto FC,Tor,0,3,-3,San Jose Earthquakes,SJE,0,0,1,0,3,5,8,3,5,8,0.762417413,-1.389863279,0.652171946,-2.128132317,1944,8250000,18155,21140,0.858798486
3/24/2012,Vancouver Whitecaps,Van,0,0,0,D.C. United,DCU,0,1,0,1,1,8,5,-3,8,5,0.860155851,-2.148797015,0.678060414,-1.344484719,2048,4370000,19475,21000,0.927380952
3/25/2012,New York Red Bulls,NY,4,1,3,Colorado Rapids,ColRa,1,0,0,3,0,5,7,2,5,7,0.711802865,-1.290962452,0.693768378,-1.830274427,1409,12960000,18281,25000,0.73124
3/25/2012,Sporting Kansas City,SKC,2,1,1,FC Dallas,FCDal,1,0,0,3,0,6,6,0,6,6,0.682715208,-1.651662667,0.573340659,-1.690351381,391,3120000,19404,18467,1.050739156
3/30/2012,D.C. United,DCU,4,1,3,FC Dallas,FCDal,1,0,0,3,0,5,6,1,5,6,0.678060414,-1.344484719,0.573340659,-1.690351381,1026,4190000,13846,19467,0.711254944
3/31/2012,Los Angeles Galaxy,LAGxy,1,3,-2,New England Revolution,NE,0,0,1,0,3,8,5,-3,8,5,0.592247811,-2.066469834,0.739438408,-1.239764964,2261,12630000,23136,27000,0.856888889
3/31/2012,New York Red Bulls,NY,5,2,3,Montreal Impact,Mntrl,1,0,0,3,0,5,5,0,5,5,0.711802865,-1.290962452,0.793543615,-1.287180323,281,12960000,18281,25000,0.73124
3/31/2012,Philadelphia Union,Phil,0,0,0,Vancouver Whitecaps,Van,0,1,0,1,1,5,8,3,5,8,0.696094902,-1.313360262,0.860155851,-2.148797015,2084,3620000,18053,18500,0.975837838
3/31/2012,Portland Timbers,Port,2,3,-1,Real Salt Lake,RSL,0,0,1,0,3,8,7,-1,8,7,0.795870139,-2.139773663,0.71151314,-1.954192804,547,4160000,20438,20438,1
3/31/2012,Seattle Sounders FC,SEA,0,1,-1,San Jose Earthquakes,SJE,0,0,1,0,3,8,8,0,8,8,0.831649389,-2.134537675,0.652171946,-2.128132317,617,3980000,43104,38500,1.119584416
3/31/2012,Toronto FC,Tor,0,1,-1,Columbus Crew,Colum,0,0,1,0,3,5,5,0,5,5,0.762417413,-1.389863279,0.698131701,-1.44658648,264,8250000,18155,21140,0.858798486
4/1/2012,Chivas USA,Chiv,0,1,-1,Sporting Kansas City,SKC,0,0,1,0,3,8,6,-2,8,6,0.592247811,-2.066469834,0.682715208,-1.651662667,1184,3230000,13056,18800,0.694468085
4/1/2012,Colorado Rapids,ColRa,2,0,2,Chicago Fire,Chi,1,0,0,3,0,7,6,-1,7,6,0.693768378,-1.830274427,0.729256157,-1.531526419,786,3430000,15175,18086,0.839046777
4/4/2012,Real Salt Lake,RSL,1,0,1,Montreal Impact,Mntrl,1,0,0,3,0,7,5,-2,7,5,0.71151314,-1.954192804,0.793543615,-1.287180323,1681,3520000,19087,20213,0.944293277
4/5/2012,FC Dallas,FCDal,1,0,1,New England Revolution,NE,1,0,0,3,0,6,5,-1,6,5,0.573340659,-1.690351381,0.739438408,-1.239764964,1346,3450000,14199,20500,0.692634146
4/7/2012,Columbus Crew,Colum,1,4,-3,New York Red Bulls,NY,0,0,1,0,3,5,5,0,5,5,0.698131701,-1.44658648,0.711802865,-1.290962452,410,3330000,14397,20145,0.714668652
4/7/2012,D.C. United,DCU,0,0,0,Seattle Sounders FC,SEA,0,1,0,1,1,5,8,3,5,8,0.678060414,-1.344484719,0.831649389,-2.134537675,2017,4190000,13846,19467,0.711254944
4/7/2012,Montreal Impact,Mntrl,2,1,1,Toronto FC,Tor,1,0,0,3,0,5,5,0,5,5,0.793543615,-1.287180323,0.762417413,-1.389863279,273,3030000,22772,20341,1.119512315
4/7/2012,Portland Timbers,Port,1,2,-1,Chivas USA,Chiv,0,0,1,0,3,8,8,0,8,8,0.795870139,-2.139773663,0.592247811,-2.066469834,726,4160000,20438,20438,1
4/7/2012,Real Salt Lake,RSL,2,0,2,Colorado Rapids,ColRa,1,0,0,3,0,7,7,0,7,7,0.71151314,-1.954192804,0.693768378,-1.830274427,331,3520000,19087,20213,0.944293277
4/7/2012,San Jose Earthquakes,SJE,3,1,2,Vancouver Whitecaps,Van,1,0,0,3,0,8,8,0,8,8,0.652171946,-2.128132317,0.860155851,-2.148797015,717,3210000,13293,10525,1.262992874
4/7/2012,Sporting Kansas City,SKC,1,0,1,Los Angeles Galaxy,LAGxy,1,0,0,3,0,6,8,2,6,8,0.682715208,-1.651662667,0.592247811,-2.066469834,1184,3120000,19404,18467,1.050739156
4/14/2012,FC Dallas,FCDal,2,1,1,Montreal Impact,Mntrl,1,0,0,3,0,6,5,-1,6,5,0.573340659,-1.690351381,0.793543615,-1.287180323,1307,3450000,14199,20500,0.692634146
4/14/2012,Los Angeles Galaxy,LAGxy,3,1,2,Portland Timbers,Port,1,0,0,3,0,8,8,0,8,8,0.592247811,-2.066469834,0.795870139,-2.139773663,726,12630000,23136,27000,0.856888889
4/14/2012,New England Revolution,NE,1,2,-1,D.C. United,DCU,0,0,1,0,3,5,5,0,5,5,0.739438408,-1.239764964,0.678060414,-1.344484719,345,3260000,14001,20000,0.70005
4/14/2012,New York Red Bulls,NY,2,2,0,San Jose Earthquakes,SJE,0,1,0,1,1,5,8,3,5,8,0.711802865,-1.290962452,0.652171946,-2.128132317,2216,12960000,18281,25000,0.73124
4/14/2012,Philadelphia Union,Phil,1,0,1,Columbus Crew,Colum,1,0,0,3,0,5,5,0,5,5,0.696094902,-1.313360262,0.698131701,-1.44658648,351,3620000,18053,18500,0.975837838
4/14/2012,Seattle Sounders FC,SEA,1,0,1,Colorado Rapids,ColRa,1,0,0,3,0,8,7,-1,8,7,0.831649389,-2.134537675,0.693768378,-1.830274427,889,3980000,43104,38500,1.119584416
4/14/2012,Sporting Kansas City,SKC,1,0,1,Real Salt Lake,RSL,1,0,0,3,0,6,7,1,6,7,0.682715208,-1.651662667,0.71151314,-1.954192804,802,3120000,19404,18467,1.050739156
4/14/2012,Toronto FC,Tor,0,1,-1,Chivas USA,Chiv,0,0,1,0,3,5,8,3,5,8,0.762417413,-1.389863279,0.592247811,-2.066469834,1885,8250000,18155,21140,0.858798486
4/15/2012,Chicago Fire,Chi,1,1,0,Houston Dynamo,Hou,0,1,0,1,1,6,6,0,6,6,0.729256157,-1.531526419,0.523017581,-1.664171442,799,3230000,16407,20000,0.82035
4/18/2012,D.C. United,DCU,1,1,0,Montreal Impact,Mntrl,0,1,0,1,1,5,5,0,5,5,0.678060414,-1.344484719,0.793543615,-1.287180323,423,4190000,13846,19467,0.711254944
4/18/2012,Vancouver Whitecaps,Van,1,3,-2,Sporting Kansas City,SKC,0,0,1,0,3,8,6,-2,8,6,0.860155851,-2.148797015,0.682715208,-1.651662667,1358,4370000,19475,21000,0.927380952
4/21/2012,Chivas USA,Chiv,0,1,-1,Philadelphia Union,Phil,0,0,1,0,3,8,5,-3,8,5,0.592247811,-2.066469834,0.696094902,-1.313360262,2080,3230000,13056,18800,0.694468085
4/21/2012,Colorado Rapids,ColRa,1,2,-1,Los Angeles Galaxy,LAGxy,0,0,1,0,3,7,8,1,7,8,0.693768378,-1.830274427,0.592247811,-2.066469834,736,3430000,15175,18086,0.839046777
4/21/2012,Columbus Crew,Colum,2,2,0,Houston Dynamo,Hou,0,1,0,1,1,5,6,1,5,6,0.698131701,-1.44658648,0.523017581,-1.664171442,857,3330000,14397,20145,0.714668652
4/21/2012,Portland Timbers,Port,1,0,1,Sporting Kansas City,SKC,1,0,0,3,0,8,6,-2,8,6,0.795870139,-2.139773663,0.682715208,-1.651662667,1292,4160000,20438,20438,1
4/21/2012,San Jose Earthquakes,SJE,3,1,2,Real Salt Lake,RSL,1,0,0,3,0,8,7,-1,8,7,0.652171946,-2.128132317,0.71151314,-1.954192804,507,3210000,13293,10525,1.262992874
4/21/2012,Toronto FC,Tor,2,3,-1,Chicago Fire,Chi,0,0,1,0,3,5,6,1,5,6,0.762417413,-1.389863279,0.729256157,-1.531526419,375,8250000,18155,21140,0.858798486
4/21/2012,Vancouver Whitecaps,Van,1,0,1,FC Dallas,FCDal,1,0,0,3,0,8,6,-2,8,6,0.860155851,-2.148797015,0.573340659,-1.690351381,1530,4370000,19475,21000,0.927380952
4/22/2012,D.C. United,DCU,4,1,3,New York Red Bulls,NY,1,0,0,3,0,5,5,0,5,5,0.678060414,-1.344484719,0.711802865,-1.290962452,183,4190000,13846,19467,0.711254944
4/25/2012,FC Dallas,FCDal,1,1,0,Real Salt Lake,RSL,0,1,0,1,1,6,7,1,6,7,0.573340659,-1.690351381,0.71151314,-1.954192804,866,3450000,14199,20500,0.692634146
4/28/2012,Chicago Fire,Chi,1,2,-1,Seattle Sounders FC,SEA,0,0,1,0,3,6,8,2,6,8,0.729256157,-1.531526419,0.831649389,-2.134537675,1501,3230000,16407,20000,0.82035
4/28/2012,Colorado Rapids,ColRa,4,0,4,Chivas USA,Chiv,1,0,0,3,0,7,8,1,7,8,0.693768378,-1.830274427,0.592247811,-2.066469834,736,3430000,15175,18086,0.839046777
4/28/2012,Columbus Crew,Colum,0,1,-1,Vancouver Whitecaps,Van,0,0,1,0,3,5,8,3,5,8,0.698131701,-1.44658648,0.860155851,-2.148797015,1782,3330000,14397,20145,0.714668652
4/28/2012,D.C. United,DCU,3,2,1,Houston Dynamo,Hou,1,0,0,3,0,5,6,1,5,6,0.678060414,-1.344484719,0.523017581,-1.664171442,1049,4190000,13846,19467,0.711254944
4/28/2012,Los Angeles Galaxy,LAGxy,1,1,0,FC Dallas,FCDal,0,1,0,1,1,8,6,-2,8,6,0.592247811,-2.066469834,0.573340659,-1.690351381,1080,12630000,23136,27000,0.856888889
4/28/2012,Montreal Impact,Mntrl,2,0,2,Portland Timbers,Port,1,0,0,3,0,5,8,3,5,8,0.793543615,-1.287180323,0.795870139,-2.139773663,2020,3030000,22772,20341,1.119512315
4/28/2012,New York Red Bulls,NY,1,0,1,New England Revolution,NE,1,0,0,3,0,5,5,0,5,5,0.711802865,-1.290962452,0.739438408,-1.239764964,162,12960000,18281,25000,0.73124
4/28/2012,Philadelphia Union,Phil,1,2,-1,San Jose Earthquakes,SJE,0,0,1,0,3,5,8,3,5,8,0.696094902,-1.313360262,0.652171946,-2.128132317,2169,3620000,18053,18500,0.975837838
4/28/2012,Real Salt Lake,RSL,3,2,1,Toronto FC,Tor,1,0,0,3,0,7,5,-2,7,5,0.71151314,-1.954192804,0.762417413,-1.389863279,1438,3520000,19087,20213,0.944293277
5/2/2012,Montreal Impact,Mntrl,0,0,0,Toronto FC,Tor,0,1,0,1,1,5,5,0,5,5,0.793543615,-1.287180323,0.762417413,-1.389863279,273,3030000,22772,20341,1.119512315
5/2/2012,New England Revolution,NE,2,1,1,Colorado Rapids,ColRa,1,0,0,3,0,5,7,2,5,7,0.739438408,-1.239764964,0.693768378,-1.830274427,1529,3260000,14001,20000,0.70005
5/2/2012,San Jose Earthquakes,SJE,5,3,2,D.C. United,DCU,1,0,0,3,0,8,5,-3,8,5,0.652171946,-2.128132317,0.678060414,-1.344484719,2100,3210000,13293,10525,1.262992874
5/2/2012,Seattle Sounders FC,SEA,2,0,2,Los Angeles Galaxy,LAGxy,1,0,0,3,0,8,8,0,8,8,0.831649389,-2.134537675,0.592247811,-2.066469834,842,3980000,43104,38500,1.119584416
5/4/2012,Chivas USA,Chiv,1,2,-1,Chicago Fire,Chi,0,0,1,0,3,8,6,-2,8,6,0.592247811,-2.066469834,0.729256157,-1.531526419,1517,3230000,13056,18800,0.694468085
5/5/2012,Los Angeles Galaxy,LAGxy,0,1,-1,New York Red Bulls,NY,0,0,1,0,3,8,5,-3,8,5,0.592247811,-2.066469834,0.711802865,-1.290962452,2135,12630000,23136,27000,0.856888889
5/5/2012,Portland Timbers,Port,0,0,0,Columbus Crew,Colum,0,1,0,1,1,8,5,-3,8,5,0.795870139,-2.139773663,0.698131701,-1.44658648,1762,4160000,20438,20438,1
5/5/2012,Real Salt Lake,RSL,2,1,1,New England Revolution,NE,1,0,0,3,0,7,5,-2,7,5,0.71151314,-1.954192804,0.739438408,-1.239764964,1822,3520000,19087,20213,0.944293277
5/5/2012,Seattle Sounders FC,SEA,1,0,1,Philadelphia Union,Phil,1,0,0,3,0,8,5,-3,8,5,0.831649389,-2.134537675,0.696094902,-1.313360262,2058,3980000,43104,38500,1.119584416
5/5/2012,Sporting Kansas City,SKC,0,2,-2,Montreal Impact,Mntrl,0,0,1,0,3,6,5,-1,6,5,0.682715208,-1.651662667,0.793543615,-1.287180323,998,3120000,19404,18467,1.050739156
5/5/2012,Toronto FC,Tor,0,2,-2,D.C. United,DCU,0,0,1,0,3,5,5,0,5,5,0.762417413,-1.389863279,0.678060414,-1.344484719,313,8250000,18155,21140,0.858798486
5/5/2012,Vancouver Whitecaps,Van,2,1,1,San Jose Earthquakes,SJE,1,0,0,3,0,8,8,0,8,8,0.860155851,-2.148797015,0.652171946,-2.128132317,717,4370000,19475,21000,0.927380952
5/6/2012,FC Dallas,FCDal,0,2,-2,Colorado Rapids,ColRa,0,0,1,0,3,6,7,1,6,7,0.573340659,-1.690351381,0.693768378,-1.830274427,567,3450000,14199,20500,0.692634146
5/9/2012,Chicago Fire,Chi,0,0,0,Real Salt Lake,RSL,0,1,0,1,1,6,7,1,6,7,0.729256157,-1.531526419,0.71151314,-1.954192804,1090,3230000,16407,20000,0.82035
5/9/2012,FC Dallas,FCDal,0,2,-2,Seattle Sounders FC,SEA,0,0,1,0,3,6,8,2,6,8,0.573340659,-1.690351381,0.831649389,-2.134537675,1454,3450000,14199,20500,0.692634146
5/9/2012,New York Red Bulls,NY,1,0,1,Houston Dynamo,Hou,1,0,0,3,0,5,6,1,5,6,0.711802865,-1.290962452,0.523017581,-1.664171442,1226,12960000,18281,25000,0.73124
5/12/2012,Chicago Fire,Chi,2,1,1,Sporting Kansas City,SKC,1,0,0,3,0,6,6,0,6,6,0.729256157,-1.531526419,0.682715208,-1.651662667,353,3230000,16407,20000,0.82035
5/12/2012,Columbus Crew,Colum,2,1,1,FC Dallas,FCDal,1,0,0,3,0,5,6,1,5,6,0.698131701,-1.44658648,0.573340659,-1.690351381,798,3330000,14397,20145,0.714668652
5/12/2012,Houston Dynamo,Hou,1,0,1,D.C. United,DCU,1,0,0,3,0,6,5,-1,6,5,0.523017581,-1.664171442,0.678060414,-1.344484719,1049,3000000,20946,22000,0.952090909
