03/10/2012,Vancouver Whitecaps,2,0,Montreal Impact
03/17/2012,Montreal Impact,1,1,Chicago Fire
03/24/2012,Columbus Crew,2,0,Montreal Impact
03/31/2012,New York Red Bulls,5,2,Montreal Impact
04/04/2012,Real Salt Lake,1,0,Montreal Impact
04/07/2012,Montreal Impact,2,1,Toronto FC
04/14/2012,FC Dallas,2,1,Montreal Impact
04/18/2012,D.C. United,1,1,Montreal Impact
04/28/2012,Montreal Impact,2,0,Portland Timbers
05/02/2012,Canadian Championship Completed Montreal Impact,0,0,Toronto FC
05/05/2012,Sporting Kansas City,0,2,Montreal Impact
05/09/2012,Canadian Championship Completed Toronto FC,2,0,Montreal Impact
05/12/2012,Montreal Impact,1,1,Los Angeles Galaxy
05/19/2012,Montreal Impact,1,2,New York Red Bulls
05/26/2012,Colorado Rapids,3,2,Montreal Impact
06/16/2012,Montreal Impact,4,1,Seattle Sounders FC
06/20/2012,Chivas USA,2,1,Montreal Impact
06/23/2012,Montreal Impact,4,2,Houston Dynamo
06/27/2012,Montreal Impact,0,3,Toronto FC
06/30/2012,D.C. United,3,0,Montreal Impact
07/04/2012,Montreal Impact,1,3,Sporting Kansas City
07/08/2012,Montreal Impact,2,1,Columbus Crew
07/14/2012,Philadelphia Union,2,1,Montreal Impact
07/18/2012,Montreal Impact,2,1,New England Revolution
07/21/2012,Houston Dynamo,3,0,Montreal Impact
07/28/2012,Montreal Impact,3,1,New York Red Bulls
08/04/2012,Montreal Impact,2,0,Philadelphia Union
08/12/2012,New England Revolution,0,1,Montreal Impact
08/18/2012,Montreal Impact,3,1,San Jose Earthquakes
08/25/2012,Montreal Impact,3,0,D.C. United
09/01/2012,Columbus Crew,2,1,Montreal Impact
09/15/2012,Chicago Fire,3,1,Montreal Impact
09/22/2012,Montreal Impact,0,0,Sporting Kansas City
10/06/2012,Houston Dynamo,1,1,Montreal Impact
10/20/2012,Toronto FC,0,0,Montreal Impact
10/27/2012,Montreal Impact,0,1,New England Revolution
11/07/2012,Club Friendlies Scheduled Bologna 7:00 PM EST Montreal Impact
11/15/2012,Club Friendlies Completed Fiorentina,0,1,Montreal Impact
 
