3/11/2012,FC Dallas,2,1,New York Red Bulls
3/17/2012,Real Salt Lake,2,0,New York Red Bulls
3/25/2012,New York Red Bulls,4,1,Colorado Rapids
3/31/2012,New York Red Bulls 5,2,Montreal Impact
4/7/2012,Columbus Crew,1,4,New York Red Bulls
4/14/2012,New York Red Bulls,2,2,San Jose
4/22/2012,D.C. United,4,1,New York Red Bulls
4/28/2012,New York Red Bulls,1,0,New England Revolution
5/5/2012,Los Angeles Galaxy,0,1,New York Red Bulls
5/9/2012,New York Red Bulls,1,0,Houston Dynamo
5/13/2012,Philadelphia Union,2,3,New York Red Bulls
5/19/2012,Montreal Impact,1,2,New York Red Bulls
5/23/2012,New York Red Bulls,1,1,Chivas USA
6/17/2012,Chicago Fire,3,1,New York Red Bulls
6/20/2012,Vancouver Whitecaps FC,1,1,New York Red Bulls
6/24/2012,New York Red Bulls,3,2,D.C. United
6/30/2012,Toronto FC,1,1,New York Red Bulls
7/8/2012,New England Revolution,2,0,New York Red Bulls
7/15/2012,New York Red Bulls,2,2,Seattle Sounders FC
7/18/2012,New York Red Bulls,1,0,Chicago Fire
7/21/2012,New York Red Bulls,2,0,Philadelphia Union
7/28/2012,Montreal Impact,3,1,New York Red Bulls
8/3/2012,Houston Dynamo,2,0,New York Red Bulls
8/10/2012,New York Red Bulls,2,0,Houston Dynamo
8/19/2012,New York Red Bulls,3,2,Portland Timbers
8/26/2012,Sporting Kansas City,1,1,New York Red Bulls
8/29/2012,D.C. United,2,2,New York Red Bulls
9/15/2012,New York Red Bulls,3,1,Columbus Crew
9/19/2012,New York Red Bulls,0,2,Sporting Kansas City
9/22/2012,New England Revolution,1,1,New York Red Bulls
9/29/2012,New York Red Bulls,4,1,Toronto FC
10/6/2012,New York Red Bulls,0,2,Chicago Fire
10/20/2012,New York Red Bulls,0,0,Sporting Kansas City
10/27/2012,Philadelphia Union,0,3,New York Red Bulls
11/3/2012,D.C. United,1,1,New York Red Bulls
11/8/2012,New York Red Bulls,0,1,D.C. United


