03/17/2012,Seattle Sounders FC,3,1,Toronto FC
03/23/2012,Seattle Sounders FC,2,0,Houston Dynamo
03/31/2012,Seattle Sounders FC,0,1,San Jose Earthquakes
04/07/2012,D.C. United,0,0,Seattle Sounders FC
04/14/2012,Seattle Sounders FC,1,0,Colorado Rapids
04/28/2012,Chicago Fire,1,2,Seattle Sounders FC
05/02/2012,Seattle Sounders FC,2,0,Los Angeles Galaxy
05/05/2012,Seattle Sounders FC,1,0,Philadelphia Union
05/09/2012,FC Dallas,0,2,Seattle Sounders FC
05/12/2012,Seattle Sounders FC,0,1,Real Salt Lake
05/19/2012,Vancouver Whitecaps,2,2,Seattle Sounders FC
05/23/2012,Seattle Sounders FC,0,2,Columbus Crew
05/26/2012,Chivas USA,1,1,Seattle Sounders FC
06/16/2012,Montreal Impact,4,1,Seattle Sounders FC
06/20/2012,Seattle Sounders FC,1,1,Sporting Kansas City
06/24/2012,Portland Timbers,2,1,Seattle Sounders FC
06/30/2012,New England Revolution,2,2,Seattle Sounders FC
07/04/2012,Real Salt Lake,0,0,Seattle Sounders FC
07/07/2012,Seattle Sounders FC,2,1,Colorado Rapids
07/15/2012,New York Red Bulls,2,2,Seattle Sounders FC
07/28/2012,Colorado Rapids,1,2,Seattle Sounders FC
08/02/2012,CONCACAF Champions League Completed Seattle Sounders FC,3,1,Caledonia AIA
08/05/2012,Seattle Sounders FC,4,0,Los Angeles Galaxy
08/08/2012,USA - Open Cup Completed Sporting Kansas City,1,1,Seattle Sounders FC
08/11/2012,San Jose Earthquakes,2,1,Seattle Sounders FC
08/18/2012,Seattle Sounders FC,2,0,Vancouver Whitecaps
08/25/2012,Chivas USA,2,6,Seattle Sounders FC
08/30/2012,CONCACAF Champions League Completed Caledonia AIA,1,3,Seattle Sounders FC
09/02/2012,FC Dallas,1,1,Seattle Sounders FC
09/08/2012,Seattle Sounders FC,2,1,Chivas USA
09/15/2012,Portland Timbers,1,1,Seattle Sounders FC
09/19/2012,CONCACAF Champions League Completed Marathon,2,3,Seattle Sounders FC
09/22/2012,Seattle Sounders FC,1,2,San Jose Earthquakes
09/29/2012,Vancouver Whitecaps,0,0,Seattle Sounders FC
10/07/2012,Seattle Sounders FC,3,0,Portland Timbers
10/17/2012,Seattle Sounders FC,0,0,Real Salt Lake
10/21/2012,Seattle Sounders FC,3,1,FC Dallas
10/24/2012,CONCACAF Champions League Completed Seattle Sounders FC,3,1,Marathon
10/28/2012,Los Angeles Galaxy,1,0,Seattle Sounders FC
11/02/2012,Seattle Sounders FC,0,0,Real Salt Lake
11/08/2012,Real Salt Lake,0,1,Seattle Sounders FC
11/11/2012,Los Angeles Galaxy,3,0,Seattle Sounders FC
11/18/2012,Seattle Sounders FC,2,1,Los Angeles Galaxy
 
