Date,Home,Opponent,MLS,Travelled,TimeZoneDiff,GoalsBySounders,GoalsByOpponent,Result,RosalesMinutes,GoalsScoredRosalesPresent,GoalsAllowedRosalesPresent,RosalesGoals,RosalesAssists
2/22/2012,0,Atlante,0,2150,1,5,3,W,90,5,3,0,2
2/29/2012,1,Jagures,0,0,0,2,0,W,90,2,0,0,1
3/7/2012,1,Santos Laguna,0,0,0,2,1,W,90,2,1,0,1
3/14/2012,0,Santos Laguna,0,2125,1,1,6,L,90,1,6,0,1
3/17/2012,1,Toronto,1,0,0,3,1,W,90,1,1,0,0
3/23/2012,1,Houston,1,0,0,2,0,W,0,0,0,0,0
3/31/2012,1,San Jose,1,0,0,0,1,L,0,0,0,0,0
4/7/2012,0,DC United,1,2329,3,0,0,D,0,0,0,0,0
4/14/2012,1,Colorado,1,0,0,1,0,W,0,0,0,0,0
4/28/2012,1,Chicago,1,0,0,2,1,W,0,0,0,0,0
5/2/2012,1,Galaxy,1,0,0,2,0,W,73,2,0,0,1
5/5/2012,1,Philadelphia,1,0,0,1,0,W,71,1,0,1,0
5/9/2012,0,Dallas,1,1681,2,2,0,W,45,0,0,0,0
5/12/2012,1,Real,1,0,0,0,1,L,74,0,1,0,0
5/19/2012,0,Vancouver,1,103,1,2,2,D,90,2,2,0,2
5/23/2012,1,Columbus,1,0,0,0,2,L,29,0,1,0,0
5/30/2012,1,Silverbacks,0,0,0,5,1,W,0,0,0,0,0
5/26/2012,0,Chivas,1,959,0,1,1,D,0,0,0,0,0
6/16/2012,0,Montreal,1,2280,3,1,4,L,70,1,3,0,0
6/20/2012,1,Sporting,1,0,0,1,1,D,70,1,1,0,1
6/24/2012,0,Portland,1,145,0,1,2,L,90,1,2,0,0
6/26/2012,0,San Jose,0,678,1,1,0,W,0,0,0,0,0
6/30/2012,0,New England,1,2493,3,2,2,D,90,2,2,0,1
7/4/2012,0,Real,1,833,1,0,0,D,90,0,0,0,0
7/7/2012,1,Colorado,1,0,0,2,1,W,90,2,1,0,2
7/11/2012,1,Chivas,0,0,0,4,1,W,0,0,0,0,0
7/15/2012,0,New York,1,2408,3,2,2,D,61,1,2,0,0
7/28/2012,0,Colorado,1,1021,1,2,1,W,90,2,1,0,1
8/2/2012,1,Caledonia,0,0,0,3,1,W,0,0,0,0,0
8/5/2012,1,Galaxy,1,0,0,4,0,W,90,4,0,0,1
8/8/2012,0,Sporting,1,1506,2,1,1,D,90,1,1,0,1
8/11/2012,0,San Jose,1,678,0,1,2,L,0,0,0,0,0
8/18/2012,1,Vancouver,1,0,0,2,0,W,87,2,0,0,1
8/25/2012,0,Chivas,1,959,0,6,2,W,77,5,2,0,3
8/30/2012,0,Caledonia,0,100,1,3,1,W,0,0,0,0,0
9/2/2012,0,Dallas,1,1681,2,1,1,D,90,1,0,1,0
9/8/2012,1,Chivas,1,0,0,2,1,W,0,0,0,0,0
9/15/2012,0,Portland,1,145,0,1,1,D,0,0,0,0,0
9/19/2012,0,Marathon,0,100,1,3,2,W,0,0,0,0,0
9/22/2012,1,San Jose,1,0,0,1,2,L,0,0,0,0,0
9/29/2012,0,Vancouver,1,103,0,0,0,D,70,0,0,0,0
10/7/2012,1,Portland,1,0,0,3,0,W,86,3,0,0,0
10/17/2012,1,Real,1,0,0,0,0,D,79,0,0,0,0
10/21/2012,1,Dallas,1,0,0,3,1,W,82,3,1,1,0
10/24/2012,1,Marathon,0,0,0,3,1,W,0,0,0,0,0
10/28/2012,0,Galaxy,1,959,0,0,1,L,81,0,0,0,0
11/2/2012,1,Real,1,0,0,0,0,D,90,0,0,0,0
11/8/2012,0,Real,1,833,1,1,0,W,0,0,0,0,0
11/11/2012,0,Galaxy,1,959,0,0,3,L,0,0,0,0,0
11/18/2012,1,Galaxy,1,0,0,2,1,W,12,0,0,0,0
