3/10/2012,D.C. United,0,1,Sporting Kansas City
3/17/2012,Sporting Kansas City,3,0,New England Revolution
3/25/2012,Sporting Kansas City,2,1,FC Dallas
4/1/2012,Chivas USA,0,1,Sporting Kansas City
4/7/2012,Sporting Kansas City,1,0,Los Angeles Galaxy
4/14/2012,Sporting Kansas City,1,0,Real Salt Lake
4/18/2012,Vancouver Whitecaps FC,1,3,Sporting Kansas City
4/21/2012,Portland Timbers,1,0,Sporting Kansas City
5/5/2012,Sporting Kansas City,0,2,Montreal Impact
5/12/2012,Chicago Fire,2,1,Sporting Kansas City
5/19/2012,Colorado Rapids,2,2,Sporting Kansas City
5/27/2012,Sporting Kansas City,2,1,San Jose
6/16/2012,Sporting Kansas City,2,0,Toronto FC
6/20/2012,Seattle Sounders FC,1,1,Sporting Kansas City
6/23/2012,Philadelphia Union,4,0,Sporting Kansas City
6/29/2012,Sporting Kansas City,0,1,Chicago Fire
7/4/2012,Montreal Impact,1,3,Sporting Kansas City
7/7/2012,Sporting Kansas City,0,0,Houston Dynamo
7/14/2012,Columbus Crew,0,2,Sporting Kansas City
7/18/2012,Houston Dynamo,2,1,Sporting Kansas City
7/21/2012,Sporting Kansas City,0,0,New England Revolution
7/28/2012,Sporting Kansas City,1,2,Columbus Crew
8/4/2012,New England Revolution,0,1,Sporting Kansas City
8/8/2012,Sporting Kansas City,1,1,Seattle Sounders FC
8/11/2012,Sporting Kansas City,2,1,D.C. United
8/18/2012,Toronto FC,0,1,Sporting Kansas City
8/26/2012,Sporting Kansas City,1,1,New York Red Bulls
9/1/2012,Sporting Kansas City,2,1,Toronto FC
9/14/2012,Sporting Kansas City,1,1,Houston Dynamo
9/19/2012,New York Red Bulls,0,2,Sporting Kansas City
9/22/2012,Montreal Impact,0,0,Sporting Kansas City
9/28/2012,Sporting Kansas City,2,0,Chicago Fire
10/7/2012,Columbus Crew,1,1,Sporting Kansas City
10/20/2012,New York Red Bulls,0,0,Sporting Kansas City
10/24/2012,Sporting Kansas City,2,1,Philadelphia Union
11/4/2012,Houston Dynamo,2,0,Sporting Kansas City
11/7/2012,Sporting Kansas City,1,0,Houston Dynamo
 
