Country,Country2,Area,Literacy,Population,GDP,Water,Birthrate,Continent
South Sudan,South Su,619745,27,8260490,NA,NA,NA,Africa
Côte d'Ivoire,Côte d'I,322463,48.7,19738000,1683,1.38,NA,Africa
Western Sahara,Western ,266000,NA,531000,NA,0,NA,Africa
East Timor,East Tim,14874,NA,1124000,NA,NA,NA,Asia
Falkland Islands,Falkland,12173,NA,3000,NA,0,NA,SAmerica
Palestinian territories,Palestin,6020,93.3,3935249,NA,NA,NA,Asia
South Georgia and the South Sandwich Islands,South Ge,3903,NA,NA,NA,0,NA,SAmerica
São Tomé and Príncipe,São Tomé,964,NA,165000,1886,0,NA,NA
Curaçao,Curaçao,444,NA,142180,NA,0,NA,NAmerica
Niue,Niue,260,NA,1500,NA,0,NA,Oceania
Saint Martin,Saint Ma,56,NA,NA,NA,0,NA,NAmerica
Pitcairn Islands,Pitcairn,47,NA,50,NA,0,NA,Oceania
Sint Maarten,Sint Maa,34,NA,37429,NA,0,NA,NAmerica
Saint Barthélemy,Saint Ba,24,NA,NA,NA,NA,NA,NAmerica
Tokelau,Tokelau,12,NA,1100,NA,0,NA,Oceania
Vatican City,Vatican ,0,NA,500,NA,0,NA,Europe
Niger,Niger,1267000,28.7,15730754,761,0.02,50.16,Africa
Mali,Mali,1240192,26.2,14517176,1272,1.61,49.61,Africa
Uganda,Uganda,241550,73.3,31800000,1244,18.23,48.12,Africa
Afghanistan,Afghanis,652090,NA,31412000,909,0,46.21,Asia
Sierra Leone,Sierra L,71740,38.1,5868000,810,0.17,45.41,Africa
Burkina Faso,Burkina ,272967,28.7,15730977,1391,0.15,45.28,Africa
Somalia,Somalia,637657,NA,9331000,NA,1.62,44.6,Africa
Angola,Angola,1246700,67.4,19082000,5749,0,44.51,Africa
Liberia,Liberia,111369,NA,3994000,396,13.51,43.75,Africa
"Congo, Democratic Republic of","Congo, D",2344858,81.1,65966000,329,NA,42.96,Africa
Yemen,Yemen,527968,58.9,22492035,2606,0,42.67,Asia
Chad,Chad,1284000,31.8,11227000,1842,1.93,42.35,Africa
"Congo, Republic of","Congo, R",342000,NA,4043000,4426,NA,42.16,Africa
Malawi,Malawi,118484,71.8,14901000,821,20.6,42.09,Africa
Burundi,Burundi,27834,59.3,8383000,412,7.73,41.97,Africa
Guinea,Guinea,245857,29.5,9982000,1049,0.06,41.53,Africa
Zambia,Zambia,752612,70.6,13046508,1516,1.23,40.78,Africa
Mauritania,Mauritan,1025520,55.8,3460000,2110,0,40.56,Africa
Nigeria,Nigeria,923768,72,158423000,2437,1.41,40.2,Africa
Rwanda,Rwanda,26338,64.9,10412820,1232,6.34,40.16,Africa
Djibouti,Djibouti,23200,70.3,889000,2537,0.09,39.07,Africa
Kenya,Kenya,580367,73.6,38610097,1676,1.93,38.94,Africa
Madagascar,Madagasc,587041,70.7,20714000,938,0.94,38.6,Africa
Mozambique,Mozambiq,801590,44.4,20579265,1012,1.63,38.54,Africa
Benin,Benin,112622,40.5,8778646,1446,1.78,38.1,Africa
Senegal,Senegal,196722,41.9,12434000,1825,2.13,37.4,Africa
Ethiopia,Ethiopia,1104300,35.9,82101998,1019,9.44,37.39,Africa
Togo,Togo,56785,53.2,6028000,863,4.23,36.83,Africa
Guinea-Bissau,Guinea-B,36125,64.6,1515000,1087,22.16,36.81,Africa
Comoros,Comoros,2235,75.1,735000,1208,0,36.35,Africa
Gabon,Gabon,267668,86.2,1505000,15072,3.74,35.96,Africa
Tanzania,Tanzania,945087,72.3,43187823,1417,6.49,35.95,Africa
