Country,Population,LifeExpectancy,GDP,Region1,Region2
Afghanistan,32358260,48.673,1246.891264, West & Central Asia,North Africa and Southwest Asia
Albania,3215988,76.918,6850.075456, Europe,Europe
Algeria,35980193,73.131,6406.816621, North Africa,North Africa and Southwest Asia
Angola,19618432,51.093,5519.183179, Sub-Saharan Africa,Sub-Saharan Africa
Argentina,40764561,75.901,15741.04577, South America,Americas
Armenia,3100236,74.241,4748.928585, West & Central Asia,North Africa and Southwest Asia
Australia,22605732,81.907,34642.38813, Oceania,East Asia and Oceania
Austria,8413429,80.854,36871.07135, Europe,Europe
Azerbaijan,9306023,70.739,9387.389497, West & Central Asia,North Africa and Southwest Asia
Bahamas,347176,75.62,21470.8042, Caribbean Islands,Americas
Bahrain,1323535,75.057,23881.14708, West & Central Asia,North Africa and Southwest Asia
Bangladesh,150493658,68.944,1669.874271, South & South East Asia,South Asia
Barbados,273925,76.835,16173.65009, Caribbean Islands,Americas
Belarus,9559441,70.349,13224.02729, North Asia,Europe
Belgium,10754056,80.009,33047.96242, Europe,Europe
Belize,317928,76.072,7255.005226, Mesoamerica,Americas
Benin,9099922,56.081,1457.215648, Sub-Saharan Africa,Sub-Saharan Africa
Bhutan,738267,67.185,5640.904567, South & South East Asia,South Asia
Bolivia,10088108,66.618,4171.368213, South America,Americas
Bosnia and Herzegovina,3752228,75.67,7750.162585, Europe,Europe
Botswana,2030738,53.183,13625.11538, Sub-Saharan Africa,Sub-Saharan Africa
Brazil,196655014,73.488,10373.40637, South America,Americas
Brunei,405938,78.005,43563.74355, South & South East Asia,South Asia
Bulgaria,7446135,73.371,11285.56666, Europe,Europe
Burkina Faso,16967845,55.439,1343.485463, Sub-Saharan Africa,Sub-Saharan Africa
Burundi,8575172,50.411,484.1486441, Sub-Saharan Africa,Sub-Saharan Africa
Cambodia,14305183,63.125,1949.589584, South & South East Asia,South Asia
Cameroon,20030362,51.61,2033.232876, Sub-Saharan Africa,Sub-Saharan Africa
Canada,34349561,81.012,35689.57119, North America,Americas
Cape Verde,500585,74.156,3787.64164, Sub-Saharan Africa,Sub-Saharan Africa
Central African Rep.,4486837,48.398,694.7216694, Sub-Saharan Africa,Sub-Saharan Africa
Chad,11525496,49.553,1745.674492, Sub-Saharan Africa,Sub-Saharan Africa
Chile,17269525,79.12,14620.87251, South America,Americas
China,1347565324,73.456,8848.092267, East Asia,East Asia and Oceania
Colombia,46927125,73.703,7767.635065, South America,Americas
Comoros,753943,61.061,1023.898606, Sub-Saharan Africa,Sub-Saharan Africa
"Congo, Dem. Rep.",67757577,48.397,387.2228377, Sub-Saharan Africa,Sub-Saharan Africa
"Congo, Rep.",4139748,57.379,4110.534283, Sub-Saharan Africa,Sub-Saharan Africa
Costa Rica,4726575,79.311,10427.73936, Mesoamerica,Americas
Cote d'Ivoire,20152894,55.377,1397.877332, Sub-Saharan Africa,Sub-Saharan Africa
Croatia,4395560,76.64,13920.2729, Europe,Europe
Cuba,11253665,79.143,9565.88509, Caribbean Islands,Americas
Cyprus,1116564,79.591,25405.82581, West & Central Asia,North Africa and Southwest Asia
Czech Rep.,10534293,77.685,22859.95475, Europe,Europe
Denmark,5572594,78.826,32868.96138, Europe,Europe
Djibouti,905564,57.937,2241.510659, Sub-Saharan Africa,Sub-Saharan Africa
Dominican Rep.,10056181,73.396,6838.858919, Caribbean Islands,Americas
Ecuador,14666055,75.632,7681.539165,South America,Americas
Egypt,82536770,73.235,6116.613731, North Africa,North Africa and Southwest Asia
El Salvador,6227491,72.196,5644.163417, Mesoamerica,Americas
Equatorial Guinea,720213,51.088,15459.99331, Sub-Saharan Africa,Sub-Saharan Africa
Eritrea,5415280,61.597,591.4616877, Sub-Saharan Africa,Sub-Saharan Africa
Estonia,1340537,74.825,18016.32406, Europe,Europe
Ethiopia,84734262,59.274,900.3506904, Sub-Saharan Africa,Sub-Saharan Africa
Fiji,868406,69.245,4122.413982, Oceania,East Asia and Oceania
Finland,5384770,79.977,31975.60544, Europe,Europe
France,63125894,81.539,30235.35994, Europe,Europe
Gabon,1534262,62.703,13905.66763, Sub-Saharan Africa,Sub-Saharan Africa
Gambia,1776103,58.491,798.5520528, Sub-Saharan Africa,Sub-Saharan Africa
Georgia,4329026,73.737,4659.383245, West & Central Asia,North Africa and Southwest Asia
Germany,82162512,80.414,33734.80896, Europe,Europe
Ghana,24965816,64.228,1641.301117, Sub-Saharan Africa,Sub-Saharan Africa
Greece,11390031,79.915,23605.6187, Europe,Europe
Grenada,104890,75.956,8766.126597, Caribbean Islands,Americas
Guatemala,14757316,71.172,5241.33997, Mesoamerica,Americas
Guinea,10221808,54.097,949.0182377, Sub-Saharan Africa,Sub-Saharan Africa
Guinea-Bissau,1547061,48.132,608.155706, Sub-Saharan Africa,Sub-Saharan Africa
Guyana,756040,69.927,4082.566975, South America,Americas
Haiti,10123787,62.095,1193.865472, Caribbean Islands,Americas
Honduras,7754687,73.126,3517.317771, Mesoamerica,Americas
"Hong Kong, China",7122187,82.759,43928.42616, East Asia,East Asia and Oceania
Hungary,9966116,74.414,17329.59545, Europe,Europe
Iceland,324366,81.804,33948.1247, Europe,Europe
India,1241491960,65.438,3162.610577, South & South East Asia,South Asia
Indonesia,242325638,69.366,4179.346906, South & South East Asia,South Asia
Iran,74798599,72.974,12474.99376, West & Central Asia,North Africa and Southwest Asia
Iraq,32664942,69.042,3707.732846, West & Central Asia,North Africa and Southwest Asia
Ireland,4525802,80.557,34420.46598, Europe,Europe
Israel,7562194,81.618,26957.71866, West & Central Asia,North Africa and Southwest Asia
Italy,60788694,81.855,26559.13559, Europe,Europe
Jamaica,2751273,73.127,6969.563611, Caribbean Islands,Americas
Japan,126497241,83.394,30487.93851, East Asia,East Asia and Oceania
Jordan,6330169,73.403,5210.274259, West & Central Asia,North Africa and Southwest Asia
Kazakhstan,16206750,67.017,11523.6711, West & Central Asia,North Africa and Southwest Asia
Kenya,41609728,57.134,1496.46728, Sub-Saharan Africa,Sub-Saharan Africa
"Korea, Dem. Rep.",24451285,68.846,1548.614233, East Asia,East Asia and Oceania
"Korea, Rep.",48391343,80.642,26206.25048,East Asia,East Asia and Oceania
Kuwait,2818042,74.576,44729.86103, West & Central Asia,North Africa and Southwest Asia
Kyrgyzstan,5392580,67.714,2111.718703, West & Central Asia,North Africa and Southwest Asia
Laos,6288037,67.484,2578.501477, South & South East Asia,South Asia
Latvia,2243142,73.339,13854.82343, Europe,Europe
