Island,TaggingDate,ID,Weight,Length,Girth,BCI,Sex,Age,DOB
Chirpoev,7/10/2005,Br800L,15.5,93,69,0.741935484,M,NA,NA
Chirpoev,7/10/2005,Br801L,29,106,71,0.669811321,F,NA,NA
Chirpoev,7/10/2005,Br802L,35.5,112,76,0.678571429,M,NA,NA
Chirpoev,7/10/2005,Br803L,32,107,72,0.672897196,M,NA,NA
Chirpoev,7/10/2005,Br804L,32,105,73.5,0.7,M,NA,NA
Chirpoev,7/10/2005,Br805L,33.5,111,72,0.648648649,M,NA,NA
Chirpoev,7/10/2005,Br806L,38,116,75,0.646551724,M,NA,NA
Chirpoev,7/10/2005,Br807L,31.5,108,67,0.62037037,M,NA,NA
Chirpoev,7/10/2005,Br808L,26,101,67,0.663366337,F,NA,NA
Chirpoev,7/10/2005,Br809L,38,116,77,0.663793103,M,NA,NA
Chirpoev,7/10/2005,Br810L,21.5,102,60,0.588235294,F,NA,NA
Chirpoev,7/10/2005,Br811L,31.5,108,71,0.657407407,F,NA,NA
Chirpoev,7/10/2005,Br812L,35,114,71,0.622807018,M,NA,NA
Chirpoev,7/10/2005,Br813L,37.5,110,74,0.672727273,M,31,6/9/2005
Chirpoev,7/10/2005,Br814L,29.5,105,71,0.676190476,F,NA,NA
Chirpoev,7/10/2005,Br815L,43.5,116,79,0.681034483,M,NA,NA
Chirpoev,7/10/2005,Br816L,27,100,67,0.67,F,NA,NA
Chirpoev,7/10/2005,Br817L,28.5,110,66,0.6,F,NA,NA
Chirpoev,7/10/2005,Br818L,41.5,117,77,0.658119658,M,NA,NA
Chirpoev,7/10/2005,Br819L,36.5,112,74,0.660714286,F,NA,NA
Chirpoev,7/10/2005,Br820L,31,108,67.5,0.625,M,NA,NA
Chirpoev,7/10/2005,Br821L,31,107,71,0.663551402,M,NA,NA
Chirpoev,7/10/2005,Br822L,38.5,118,76,0.644067797,M,NA,NA
Chirpoev,7/10/2005,Br823L,35.5,112,74,0.660714286,M,NA,NA
Chirpoev,7/10/2005,Br824L,27,105,65,0.619047619,F,31,6/9/2005
Chirpoev,7/10/2005,Br825L,44.5,114,84,0.736842105,M,NA,NA
Chirpoev,7/10/2005,Br826L,23,97,62,0.639175258,F,NA,NA
Chirpoev,7/10/2005,Br827L,35.5,115,73,0.634782609,F,NA,NA
Chirpoev,7/10/2005,Br828L,29,105,69,0.657142857,F,NA,NA
Chirpoev,7/10/2005,Br829L,22,103,66,0.640776699,F,NA,NA
Chirpoev,7/10/2005,Br830L,31.5,107,74,0.691588785,F,NA,NA
Chirpoev,7/10/2005,Br831L,40,115,77.5,0.673913043,M,NA,NA
Chirpoev,7/10/2005,Br832L,29,108,67,0.62037037,M,NA,NA
Chirpoev,7/10/2005,Br833L,40,115,80,0.695652174,M,NA,NA
Chirpoev,7/10/2005,Br834L,40,117,67,0.572649573,M,NA,NA
Chirpoev,7/10/2005,Br835L,40,121,78,0.644628099,M,NA,NA
Chirpoev,7/10/2005,Br836L,40,120,76,0.633333333,M,NA,NA
Chirpoev,7/10/2005,Br837L,32.5,115,74.5,0.647826087,F,NA,NA
Chirpoev,7/10/2005,Br838L,32,115,71,0.617391304,F,NA,NA
Chirpoev,7/10/2005,Br839L,28.5,100,70,0.7,F,NA,NA
Chirpoev,7/10/2005,Br840L,31.5,109,70,0.642201835,M,NA,NA
Chirpoev,7/10/2005,Br841L,44,115,81,0.704347826,M,NA,NA
Chirpoev,7/10/2005,Br842L,25.5,104,68,0.653846154,F,NA,NA
Chirpoev,7/10/2005,Br843L,24,103,64.5,0.626213592,F,NA,NA
Chirpoev,7/10/2005,Br844L,38.5,116,77,0.663793103,M,NA,NA
Chirpoev,7/10/2005,Br845L,30,110,69,0.627272727,M,NA,NA
Chirpoev,7/10/2005,Br846L,27,106,66,0.622641509,M,NA,NA
Chirpoev,7/10/2005,Br847L,28.5,110,71,0.645454545,M,NA,NA
Chirpoev,7/10/2005,Br848L,35.5,116,77,0.663793103,M,NA,NA
Chirpoev,7/10/2005,Br849L,45,120,88,0.733333333,M,NA,NA
Chirpoev,7/10/2005,Br850L,33.5,113,71.5,0.632743363,M,NA,NA
Chirpoev,7/10/2005,Br851L,30.5,110,77,0.7,F,NA,NA
Chirpoev,7/10/2005,Br852L,22.5,97,52.5,0.541237113,F,NA,NA
Chirpoev,7/10/2005,Br853L,28.5,108,67,0.62037037,M,NA,NA
Chirpoev,7/10/2005,Br854L,38.5,116,76,0.655172414,M,NA,NA
Chirpoev,7/10/2005,Br855L,26,105,68,0.647619048,F,NA,NA
Chirpoev,7/10/2005,Br856L,35.5,121,76,0.628099174,F,NA,NA
Chirpoev,7/10/2005,Br857L,33,111,70,0.630630631,M,NA,NA
Chirpoev,7/10/2005,Br858L,30.5,110,70,0.636363636,F,NA,NA
Chirpoev,7/10/2005,Br859L,31,107,71,0.663551402,F,NA,NA
Chirpoev,7/10/2005,Br860L,30,104,76,0.730769231,F,NA,NA
Chirpoev,7/10/2005,Br861L,37,115,78,0.67826087,M,NA,NA
Chirpoev,7/10/2005,Br862L,41.5,118,80.5,0.68220339,M,NA,NA
Chirpoev,7/10/2005,Br863L,31,110,69.5,0.631818182,M,NA,NA
Chirpoev,7/10/2005,Br864L,32.5,115,72,0.626086957,F,34,6/6/2005
Chirpoev,7/10/2005,Br865L,29.5,105,72.5,0.69047619,M,NA,NA
Chirpoev,7/10/2005,Br866L,40,115,79,0.686956522,M,NA,NA
Chirpoev,7/10/2005,Br867L,36,115,73,0.634782609,M,NA,NA
Chirpoev,7/10/2005,Br868L,20,101,59,0.584158416,F,NA,NA
Chirpoev,7/10/2005,Br870L,30,110,70.5,0.640909091,F,NA,NA
Chirpoev,7/10/2005,Br871L,26,106,65.5,0.617924528,F,NA,NA
Chirpoev,7/10/2005,Br872L,28.5,108,68.5,0.634259259,F,NA,NA
Chirpoev,7/10/2005,Br873L,31,108,71,0.657407407,F,NA,NA
Chirpoev,7/10/2005,Br874L,31,107,72,0.672897196,F,NA,NA
