N,Major.Length,Minor.Length,Thickness
1,26.1,23.4,14.5
2,30.4,29.8,19.0
3,36.7,30.7,24.1
4,30.2,26.9,22.1
5,33.8,29.4,17.6
6,34.1,30.4,24.6
7,32.2,29.2,25.2
8,29.5,27.4,22.5
9,27.0,26.2,16.8
10,28.6,28.1,25.1
11,30.3,27.6,22.6
12,35.4,29.5,23.0
13,29.8,25.2,21.3
14,30.8,27.7,22.0
15,26.9,25.7,20.2
16,30.4,28.6,22.0
17,27.5,26.1,21.1
18,30.8,25.4,24.7
19,29.6,25.5,24.7
20,27.5,20.9,14.6
21,29.0,27.2,14.8
22,28.0,26.3,20.1
23,38.1,32.5,18.8
24,26.5,24.2,20.2
25,32.6,29.5,25.6
26,29.8,27.0,23.1
27,28.3,27.1,17.3
28,29.0,25.8,19.5
29,27.0,23.7,15.1
30,25.9,23.8,20.5
