Magnitude,Location,Latitude,Longitude,Depth (km),Date (UTC),EventId,Event URL
2.5,"5km SSW of Cobb, California",38.7758,-122.7448,3.1,"2012-11-05 14:03:45",nc71876060,http://earthquake.usgs.gov/earthquakes/eventpage/nc71876060
2.8,"42km W of Willow, Alaska",61.739,-150.8419,74.8,"2012-11-05 13:47:01",ak10593564,http://earthquake.usgs.gov/earthquakes/eventpage/ak10593564
4.6,"25km SSW of Hualian, Taiwan",23.764,121.5074,14.2,"2012-11-05 13:40:29",us2012hpas,http://earthquake.usgs.gov/earthquakes/eventpage/us2012hpas
4.5,"28km NNE of Chongdui, China",28.3694,86.1169,65.72,"2012-11-05 13:07:58",usb000dkje,http://earthquake.usgs.gov/earthquakes/eventpage/usb000dkje
4.1,"49km NNE of Redoubt Volcano, Alaska",60.8799,-152.3264,98.9,"2012-11-05 12:41:15",ak10593534,http://earthquake.usgs.gov/earthquakes/eventpage/ak10593534
4.4,"15km SE of Iztapa, Guatemala",13.8264,-90.6112,76.43,"2012-11-05 12:21:27",usb000dkj6,http://earthquake.usgs.gov/earthquakes/eventpage/usb000dkj6
4.8,"44km SE of Tobelo, Indonesia",1.4982,128.3379,72.52,"2012-11-05 11:59:27",usb000dkil,http://earthquake.usgs.gov/earthquakes/eventpage/usb000dkil
4.7,"126km NE of Tobelo, Indonesia",2.6283,128.7108,45.98,"2012-11-05 10:36:17",usb000dki8,http://earthquake.usgs.gov/earthquakes/eventpage/usb000dki8
4.1,"37km NE of Opotiki, New Zealand",-37.83,177.56,42,"2012-11-05 09:38:04",usb000dkhv,http://earthquake.usgs.gov/earthquakes/eventpage/usb000dkhv
3.1,"110km NNE of Road Town, British Virgin Islands",19.2476,-64.0402,93,"2012-11-05 09:31:36",pr12310002,http://earthquake.usgs.gov/earthquakes/eventpage/pr12310002
4.4,"129km SSW of Sarangani, Philippines",4.3307,125.0004,126.22,"2012-11-05 08:48:20",usb000dkhr,http://earthquake.usgs.gov/earthquakes/eventpage/usb000dkhr
2.5,"44km SE of Esperanza, Puerto Rico",17.8215,-65.1595,16,"2012-11-05 06:10:30",pr12310001,http://earthquake.usgs.gov/earthquakes/eventpage/pr12310001
5.7,"217km ESE of Ishinomaki, Japan",37.7828,143.6511,15.92,"2012-11-05 04:30:26",usb000dkgi,http://earthquake.usgs.gov/earthquakes/eventpage/usb000dkgi
2.7,"16km NNW of Glennallen, Alaska",62.2475,-145.6291,27.1,"2012-11-05 02:45:16",ak10593439,http://earthquake.usgs.gov/earthquakes/eventpage/ak10593439
3.3,"162km SW of Amatignak Island, Alaska",50.2166,179.2909,41.8,"2012-11-05 01:23:15",ak10593419,http://earthquake.usgs.gov/earthquakes/eventpage/ak10593419
5.2,"90km SSW of Sarangani, Philippines",4.6534,125.1305,38.36,"2012-11-05 00:55:39",usb000dkfj,http://earthquake.usgs.gov/earthquakes/eventpage/usb000dkfj
5.2,"142km SE of Modayag, Indonesia",-0.1841,125.3064,28.86,"2012-11-05 00:29:57",usb000dkf3,http://earthquake.usgs.gov/earthquakes/eventpage/usb000dkf3
5.2,"Southwest Indian Ridge",-28.7881,61.9978,10.01,"2012-11-05 00:24:43",usb000dkf1,http://earthquake.usgs.gov/earthquakes/eventpage/usb000dkf1
5.3,"97km SSW of Sarangani, Philippines",4.5998,125.1118,43.45,"2012-11-04 23:46:39",usb000dker,http://earthquake.usgs.gov/earthquakes/eventpage/usb000dker
3.3,"132km NNE of Road Town, British Virgin Islands",19.5683,-64.2855,70,"2012-11-04 23:40:17",pr12309004,http://earthquake.usgs.gov/earthquakes/eventpage/pr12309004
2.7,"113km NNE of Mayo, Canada",64.5818,-135.3891,34.2,"2012-11-04 23:07:36",ak10593383,http://earthquake.usgs.gov/earthquakes/eventpage/ak10593383
3.6,"86km SW of Homer, Alaska",59.0722,-152.5903,60.2,"2012-11-04 20:43:59",ak10593342,http://earthquake.usgs.gov/earthquakes/eventpage/ak10593342
4.5,"22km WSW of La Gomera, Guatemala",13.9867,-91.2335,84.12,"2012-11-04 19:12:57",usb000dk9r,http://earthquake.usgs.gov/earthquakes/eventpage/usb000dk9r
5,"103km W of Colchani, Bolivia",-20.3713,-67.9221,168.51,"2012-11-04 19:08:24",usb000dk9l,http://earthquake.usgs.gov/earthquakes/eventpage/usb000dk9l
4.6,"167km S of Masset, Canada",52.5217,-132.3462,20.31,"2012-11-04 18:27:19",usb000dk90,http://earthquake.usgs.gov/earthquakes/eventpage/usb000dk90
2.9,"5km SSW of Salton City, California",33.2547,-115.982,6.6,"2012-11-04 17:32:34",ci15241161,http://earthquake.usgs.gov/earthquakes/eventpage/ci15241161
3.4,"138km NNE of Road Town, British Virgin Islands",19.6289,-64.2857,64,"2012-11-04 17:13:00",pr12309003,http://earthquake.usgs.gov/earthquakes/eventpage/pr12309003
