name,cyl,volume,hp,weight,accel,year,continent,mpg
chevrolet chevelle malibu,8,307,130,3504,12,70,1,18
buick skylark 320,8,350,165,3693,11.5,70,1,15
plymouth satellite,8,318,150,3436,11,70,1,18
amc rebel sst,8,304,150,3433,12,70,1,16
ford galaxie 500,8,429,198,4341,10,70,1,15
chevrolet impala,8,454,220,4354,9,70,1,14
plymouth fury iii,8,440,215,4312,8.5,70,1,14
pontiac catalina,8,455,225,4425,10,70,1,14
amc ambassador dpl,8,390,190,3850,8.5,70,1,15
dodge challenger se,8,383,170,3563,10,70,1,15
chevrolet monte carlo,8,400,150,3761,9.5,70,1,15
buick estate wagon (sw),8,455,225,3086,10,70,1,14
toyota corona mark ii,4,113,95,2372,15,70,3,24
plymouth duster,6,198,95,2833,15.5,70,1,22
amc hornet,6,199,97,2774,15.5,70,1,18
ford maverick,6,200,85,2587,16,70,1,21
datsun pl510,4,97,88,2130,14.5,70,3,27
volkswagen 1131 deluxe sedan,4,97,46,1835,20.5,70,2,26
peugeot 504,4,110,87,2672,17.5,70,2,25
saab 99e,4,104,95,2375,17.5,70,2,25
amc gremlin,6,199,90,2648,15,70,1,21
ford f250,8,360,215,4615,14,70,1,10
chevy c20,8,307,200,4376,15,70,1,10
hi 1200d,8,304,193,4732,18.5,70,1,9
datsun pl510,4,97,88,2130,14.5,71,3,27
chevrolet vega 2300,4,140,90,2264,15.5,71,1,28
ford pinto,4,98,75,2046,19,71,1,25
amc gremlin,6,232,100,2634,13,71,1,19
plymouth satellite custom,6,225,105,3439,15.5,71,1,16
chevrolet chevelle malibu,6,250,100,3329,15.5,71,1,17
ford torino 500,6,250,88,3302,15.5,71,1,19
amc matador,6,232,100,3288,15.5,71,1,18
chevrolet impala,8,350,165,4209,12,71,1,14
pontiac catalina brougham,8,400,175,4464,11.5,71,1,14
plymouth fury iii,8,318,150,4096,13,71,1,14
dodge monaco (sw),8,383,180,4955,11.5,71,1,12
ford country squire (sw),8,400,170,4746,12,71,1,13
pontiac safari (sw),8,400,175,5140,12,71,1,13
amc hornet sportabout (sw),6,258,110,2962,13.5,71,1,18
