"","site","n","LogAvgNox"
"370670022","370670022",295,2.77852481097925
"371190041","371190041",305,2.98220121302123
"W001","W001",100,2.85008943703485
"W002","W002",97,2.50067891440539
"W003","W003",94,3.12103646474756
"W004","W004",79,2.41338503197159
"W-Z1H1C","W-Z1H1C",3,2.617938396687
"W-Z1H1D","W-Z1H1D",3,2.49958710166032
"W-Z1H1E","W-Z1H1E",3,2.55135280768187
"W-Z1H1F","W-Z1H1F",3,2.60216533940727
"W-Z1H1B","W-Z1H1B",3,2.54877006456971
"W-Z1H1A","W-Z1H1A",3,2.63867172728598
"W-Z2H2A","W-Z2H2A",3,2.67536851448806
"W-Z2H2B","W-Z2H2B",3,2.66346317217919
"W-Z2H2C","W-Z2H2C",3,2.88951084619496
"W-Z2H2D","W-Z2H2D",3,2.86180218902978
"W-Z2H2E","W-Z2H2E",3,2.6816729670217
"W-Z2H2F","W-Z2H2F",3,2.69374533872692
"W-Z1R2","W-Z1R2",3,1.96031458808015
"W-Z1R1","W-Z1R1",3,2.24261978687829
"W-Z1R3","W-Z1R3",3,1.78772151374233
"W-Z1L2F","W-Z1L2F",3,1.87721881438044
"W-Z1L2E","W-Z1L2E",3,2.14993836223171
"W-Z1L2D","W-Z1L2D",3,2.47535545837581
"W-Z1L2C","W-Z1L2C",3,2.59805567313673
"W-Z1L2B","W-Z1L2B",3,1.89479152193444
"W-Z1L2A","W-Z1L2A",3,1.87293558070475
"W-BZ1L3F","W-BZ1L3F",3,2.65645174775334
"W-BZ1L3E","W-BZ1L3E",3,2.91370177392633
"W-BZ1L3D","W-BZ1L3D",3,3.31551011470512
"W-BZ1L3B","W-BZ1L3B",3,2.84255854018227
"W-BZ1L3A","W-BZ1L3A",3,2.33953171130786
"W-Z2H1F","W-Z2H1F",3,2.71187139516557
"W-Z2H1E","W-Z2H1E",3,2.75271233242503
"W-Z2H1D","W-Z2H1D",3,2.91064792366921
"W-Z2H1C","W-Z2H1C",3,2.99899025671646
