"native.id","latitude","longitude","lambert.x","lambert.y","state.plane","county","em.nox.s30000","log10.m.to.a1","log10.m.to.airp","log10.m.to.comm","log10.m.to.ry","log10.m.to.rr","log10.m.to.truck","log10.m.to.main.cityhall","log10.m.to.road","m.to.main.cityhall","ll.a1.s00500","ll.a1.s00750","ll.a1.s01500","ll.a1.s03000","ll.a1.s05000","ll.a23.s00100","ll.a23.s00150","ll.a23.s00300","ll.a23.s00500","ll.a23.s00750","ll.a23.s01500","ll.a23.s03000","ll.a23.s05000","tl.s00750","tl.s01500","tl.s03000","tl.s05000","tl.s10000","tl.s15000","pop.s01000","pop.s05000","pop.s10000","log10.pop.s01000","log10.pop.s05000","log10.pop.s15000","log10.calinemod.lt.a01500","log10.calinemod.lt.a09000","log10.m.to.interchange12","log10.m.to.interchange3","log10.m.to.intersect","intersect.s00500","interchange3.s01000","intersect.s01000","interchange12.s03000","interchange3.s03000","intersect.s03000","log2.intersect.s00500","log2.interchange3.s01000","log2.intersect.s01000","log2.interchange12.s03000","log2.interchange3.s03000","log2.intersect.s03000","ndvi.q25.a00250","ndvi.q50.a00250","ndvi.q75.a00250","ndvi.q25.a00500","ndvi.q50.a00500","ndvi.q75.a00500","ndvi.q25.a01000","ndvi.q50.a01000","ndvi.q75.a01000","ndvi.q25.a02500","ndvi.q50.a02500","ndvi.q75.a02500","ndvi.q25.a05000","ndvi.q50.a05000","ndvi.q25.a10000","ndvi.q50.a10000","ndvi.q75.a10000","imp.a00050","imp.a00150","imp.a00300","imp.a00750","elev.elevation","elev.1k.below","elev.1k.stdev","elev.5k.stdev","elev.1k.rbelow","elev.5k.rbelow","rlu.dev.open.p00050","rlu.dev.open.p00150","rlu.dev.open.p00300","rlu.dev.open.p00750","rlu.dev.open.p03000","rlu.dev.open.p05000","rlc.dev.medhi.p00150","rlc.dev.medhi.p00300","rlc.dev.medhi.p00500","rlc.dev.medhi.p01000","rlc.dev.medhi.p03000","rlc.dev.medhi.p05000","rlc.dev.openlow.p00050","rlc.dev.openlow.p00150","rlc.dev.openlow.p00300","rlc.dev.openlow.p01000","rlc.dev.openlow.p03000","rlc.dev.openlow.p05000","rlc.anyforest.p00050","rlc.anyforest.p00100","rlc.anyforest.p00150","rlc.anyforest.p00300","rlc.anyforest.p00500","rlc.anyforest.p01000","rlc.anyflat.p00300","rlc.anyflat.p00500","rlc.anyflat.p01000","rlc.anyflat.p03000","rlc.anyflat.p05000","rlc.openbasic.p00050","rlc.openplus.p00050","rlc.openbasic.p00150","rlc.openplus.p00150","rlc.openbasic.p00300","rlc.openbasic.p01000","rlc.openplus.p01000","rlc.openbasic.p03000","rlc.openplus.p03000","rlc.openbasic.p05000","rlc.openplus.p05000"
"W002",36.0259,-80.3423,1398612.37745,-207653.34867,"NC","Forsyth",2395,3.50188049375506,4.20604290109252,3.37254380075907,4.33679983134811,2.26007138798507,3.49941212567228,4.07103467505415,2.31175386105575,11777,0,0,0,0,16235,0,0,429,889,1452,4440,13771,38112,0,0,0,7848,42711,84778,551,21849,103647,2.7419390777292,4.33945144130644,5.3294100841867,-0.275724130399211,-0.0177287669604316,3.73751069067348,3.51295107997249,3.16996817399689,0,0,0,0,0,12,0,0,0,0,0,3.70043971814109,154,171,191,151,170,192,152,174,197,153,176,202,151,173,151,174,197,0,6,5,9,246,11,9,12,3.3166247903554,0,0,12,14,9,15,22,0,0,2,4,7,6,44,30,29,16,23,32,22,35,31,25,35,45,46,39,35,29,25,55,55,70,82,71,80,88,71,86,61,83
"W001",36.1109,-80.2244,1407415.68518,-196580.28654,"NC","Forsyth",47002,3.03662889536216,3.38632057389405,2.92116605063774,3.88149877961498,3.06370855939142,3.03382569395331,3.38578495884334,2.20682587603185,2431,0,0,4971,22758,41173,0,0,1326,2429,4696,21449,66545,157601,0,2483,11942,24192,68927,106023,4890,61923,168597,3.68939766282128,4.79185900196779,5.41609938221295,-0.187086643357144,0.238046103128795,3.0899051114394,3.04139268515822,2.35793484700045,8,0,23,6,25,207,3.16992500144231,0,4.58496250072116,2.8073549220576,4.70043971814109,7.70043971814109,142,161,180,139,162,181,136,161,180,131,155,174,139,162,147,171,192,25,25,32,28,286,13,17,15,3.60555127546399,0,44,46,22,28,32,37,3,10,12,16,25,19,100,97,90,83,65,64,0,0,0,0,0,0,0,0,0,2,4,0,44,0,46,0,0,28,11,43,17,54
"W003",36.0924,-80.2725,1403519.49478,-199337.86449,"NC","Forsyth",46998,1.63346845557959,3.80556881754856,1.39794000867204,4.0814913285257,2.2405492482826,2,3.42683645380351,1.63346845557959,2672,1992,3002,6360,12657,52701,0,136,1037,2909,5748,16127,71479,188463,1514,3233,6370,26124,66310,103638,3425,71523,184174,3.53478735862949,4.85445179450921,5.42266533421976,0.634477270160732,0.714329759745233,2.78675142214556,2.20411998265592,2.20411998265592,6,5,20,2,16,176,2.8073549220576,2.58496250072116,4.39231742277876,1.58496250072116,4.08746284125034,7.467605550083,116,128,141,123,137,152,134,157,170,145,169,183,140,164,148,171,191,60,57,58,45,264,3,12,19,1.73205080756888,0,0,0,4,20,45,43,68,63,59,32,21,21,11,32,37,67,76,74,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,29,2,47,4,47
"W004",36.1729,-80.1514,1412673.58139,-188700.08915,"NC","Forsyth",47113,3.81424759573192,3.88918961204707,2.0899051114394,3.25743856685981,2.52374646681156,3.19228861256812,4.07696795219792,2.48287358360875,11939,0,0,0,0,0,0,0,0,1098,2545,7022,24119,44761,0,0,5088,9340,38432,92213,459,13620,73766,2.66275783168157,4.13420899293208,5.27180676868347,-0.585026652029182,-0.356547323513813,3.9507541815935,3.82151352840477,2.48429983934679,6,0,11,0,0,21,2.8073549220576,0,3.58496250072116,0,0,4.4594316186373,137,171,182,144,176,189,144,173,192,148,176,195,148,182,147,179,199,22,19,18,14,300,2,7,19,1.4142135623731,2,67,39,25,21,20,22,12,10,9,6,2,1,78,65,55,36,25,25,0,3,8,18,25,39,17,18,21,28,25,11,78,23,62,35,60,80,74,94,74,96
"W-Z1H1C",36.1066,-80.2792,1402657.46464,-197895.60895,"NC","Forsyth",46887,3.14301480025409,3.77254173264094,3.04414762087872,4.06269477334239,3.14270224573762,3.14395111642396,3.54456409749604,1.14612803567824,3504,0,0,1403,9837,37436,198,298,1337,2561,4057,16863,66276,184664,0,739,4949,17872,64445,103046,2779,70794,186239,3.44404479591808,4.85000258609246,5.41752649555007,-0.795880017344075,0.0211892990699381,3.14612803567824,3.14612803567824,2.28330122870355,4,0,12,2,9,123,2.32192809488736,0,3.70043971814109,1.58496250072116,3.32192809488736,6.95419631038687,163,189,208,164,191,209,166,192,205,152,180,193,142,167,147,172,190,12,12,12,12,288,7,12,19,2.64575131106459,1.4142135623731,100,93,95,90,56,46,0,0,0,1,12,20,100,100,100,98,82,74,0,0,0,0,0,1,0,0,0,1,0,0,100,0,93,0,1,87,5,61,5,51
"W-Z1H1D",36.1066,-80.2796,1402622.13216,-197901.78294,"NC","Forsyth",46887,3.14270224573762,3.7748817658188,3.04649516433471,4.06382105634371,3.14860265480609,3.14332712999205,3.5487578285737,1.34242268082221,3538,0,0,1392,9782,37127,195,297,1106,2512,3990,16943,65969,184050,0,732,4926,17862,64368,103008,2776,70650,186285,3.44357587975026,4.8491183132675,5.41738200171658,-0.823908740944319,0.0211892990699381,3.14643813528577,3.14643813528577,2.28103336724773,4,0,14,2,9,121,2.32192809488736,0,3.90689059560852,1.58496250072116,3.32192809488736,6.93073733756289,163,189,208,164,191,209,166,192,205,152,180,193,142,167,147,172,190,10,12,11,12,288,7,11,18,2.64575131106459,1,100,97,95,89,57,46,0,0,0,1,11,20,100,100,100,98,83,74,0,0,0,0,0,1,0,0,0,1,0,0,100,0,97,0,1,87,5,62,5,51
"W-Z1H1E",36.1066,-80.2808,1402516.13454,-197920.30399,"NC","Forsyth",46887,3.14238946611884,3.78168358450735,3.05576046468773,4.06714527888539,3.16672605558005,3.14332712999205,3.56098205558624,2.06069784035361,3639,0,0,1344,9574,36121,0,343,1029,2275,3725,17135,64939,182100,0,698,4852,17836,64154,102895,2759,70208,186432,3.44090908206522,4.84639278734069,5.41692994052587,-0.823908740944319,0.0211892990699381,3.14891099310936,3.14891099310936,2.3541084391474,4,0,12,2,8,112,2.32192809488736,0,3.70043971814109,1.58496250072116,3.16992500144231,6.82017896241519,163,189,208,164,191,208,166,193,205,154,181,195,143,167,147,172,190,11,10,11,12,288,5,9,19,2.23606797749979,1.4142135623731,100,100,95,89,58,46,0,0,0,0,11,20,100,100,100,98,84,74,0,0,0,0,0,1,0,0,0,1,0,0,100,0,100,0,1,87,5,63,5,51
"W-Z1H1F",36.107,-80.2821,1402393.69645,-197896.82564,"NC","Forsyth",46887,3.15775888604686,3.78760214618234,3.08421868673924,4.069816042572,3.19672872262329,3.15836249209525,3.57564961475522,2.00432137378264,3764,0,0,910,9130,32969,0,221,900,1666,3548,17061,64111,179731,0,479,4602,17164,63870,102758,2724,69783,186576,3.43536650661266,4.84375585946777,5.41628427308003,-0.886056647693163,0.0211892990699381,3.16761267272753,3.16761267272753,2.52504480703685,2,0,12,2,8,108,1.58496250072116,0,3.70043971814109,1.58496250072116,3.16992500144231,6.76818432477693,161,191,208,164,190,208,167,193,205,154,181,195,143,167,147,172,190,12,9,10,12,281,1,8,19,1,1,100,100,93,89,59,47,0,0,1,0,10,20,100,100,100,98,84,74,0,0,0,0,0,1,0,0,0,1,0,0,100,0,100,0,1,87,6,65,6,53
"W-Z1H1B",36.1066,-80.2786,1402710.46332,-197886.34767,"NC","Forsyth",46887,3.14457420760962,3.76908178711822,3.04060234011407,4.06103759006342,3.13065534902203,3.14519640611418,3.53832233323144,1.83250891270624,3454,0,0,1414,9913,38028,147,267,1458,2613,4128,16744,66745,185535,0,746,4984,17846,64559,103102,2781,71004,186168,3.44435712565603,4.85128893176066,5.41773567728748,-0.795880017344075,0.0211892990699381,3.14612803567824,3.14612803567824,2.31386722036915,4,0,12,2,9,125,2.32192809488736,0,3.70043971814109,1.58496250072116,3.32192809488736,6.97727992349992,162,188,208,166,192,209,164,191,205,152,180,193,142,167,147,172,190,13,13,12,12,288,8,12,20,2.82842712474619,1.73205080756888,100,92,95,90,56,46,0,0,0,1,12,20,100,100,100,98,83,74,0,0,0,0,0,1,0,0,0,1,0,0,100,0,92,0,1,87,5,61,5,51
"W-Z1H1A",36.1064,-80.2755,1402988.09396,-197860.2625,"NC","Forsyth",46887,3.15014216184856,3.75181778773688,3.03100428136354,4.05280932814056,3.05269394192497,3.14983469671578,3.50351831272407,1.85125834871908,3188,0,0,1558,10281,40672,140,263,1065,2531,4403,15756,69423,189601,0,819,5167,19458,65116,103384,2712,71862,185832,3.4334497937616,4.85650534334804,5.41884133709029,-0.769551078621726,0.0253058652647703,3.15044940946088,3.15044940946088,2.28780172993023,4,0,12,2,13,152,2.32192809488736,0,3.70043971814109,1.58496250072116,3.8073549220576,7.25738784269265,163,190,210,166,193,206,164,189,201,149,175,188,141,165,147,171,190,11,10,11,12,281,2,12,18,1.4142135623731,0,100,100,95,90,53,45,0,0,0,1,15,21,100,100,100,99,80,74,0,0,0,0,0,0,0,0,0,1,0,0,100,0,100,0,0,87,5,58,4,49
