"Area","Perim","Compact","Length","Width","Asym","Groove","Variety"
12.73,13.75,0.8458,5.412,2.882,3.533,5.067,1
12.08,13.23,0.8664,5.099,2.936,1.415,4.961,1
15.01,14.76,0.8657,5.789,3.245,1.791,5.001,1
14.52,14.6,0.8557,5.741,3.113,1.481,5.487,1
15.78,14.91,0.8923,5.674,3.434,5.593,5.136,1
13.99,13.83,0.9183,5.119,3.383,5.234,4.781,1
12.78,13.57,0.8716,5.262,3.026,1.176,4.782,1
13.45,14.02,0.8604,5.516,3.065,3.531,5.097,1
14.03,14.16,0.8796,5.438,3.201,1.717,5.001,1
13.02,13.76,0.8641,5.395,3.026,3.373,4.825,1
15.88,14.9,0.8988,5.618,3.507,0.7651,5.091,1
14.11,14.18,0.882,5.541,3.221,2.754,5.038,1
14.69,14.49,0.8799,5.563,3.259,3.586,5.219,1
13.94,14.17,0.8728,5.585,3.15,2.124,5.012,1
14.01,14.29,0.8625,5.609,3.158,2.217,5.132,1
13.78,14.06,0.8759,5.479,3.156,3.136,4.872,1
14.8,14.52,0.8823,5.656,3.288,3.112,5.309,1
14.7,14.21,0.9153,5.205,3.466,1.767,4.649,1
13.16,13.82,0.8662,5.454,2.975,0.8551,5.056,1
15.26,14.85,0.8696,5.714,3.242,4.543,5.314,1
18.59,16.05,0.9066,6.037,3.86,6.001,5.877,2
18.17,16.26,0.8637,6.271,3.512,2.853,6.273,2
18.43,15.97,0.9077,5.98,3.771,2.984,5.905,2
16.17,15.38,0.8588,5.762,3.387,4.286,5.703,2
18.27,16.09,0.887,6.173,3.651,2.443,6.197,2
16.41,15.25,0.8866,5.718,3.525,4.217,5.618,2
16.82,15.51,0.8786,6.017,3.486,4.004,5.841,2
20.03,16.9,0.8811,6.493,3.857,3.063,6.32,2
17.63,15.86,0.88,6.033,3.573,3.747,5.929,2
19.51,16.71,0.878,6.366,3.801,2.962,6.185,2
18.98,16.57,0.8687,6.449,3.552,2.144,6.453,2
17.36,15.76,0.8785,6.145,3.574,3.526,5.971,2
19.15,16.45,0.889,6.245,3.815,3.084,6.185,2
18.36,16.52,0.8452,6.666,3.485,4.933,6.448,2
18.95,16.42,0.8829,6.248,3.755,3.368,6.148,2
20.24,16.91,0.8897,6.315,3.962,5.901,6.188,2
19.94,16.92,0.8752,6.675,3.763,3.252,6.55,2
20.1,16.99,0.8746,6.581,3.785,1.955,6.449,2
19.06,16.45,0.8854,6.416,3.719,2.248,6.163,2
15.6,15.11,0.858,5.832,3.286,2.725,5.752,2
11.26,13.01,0.8355,5.186,2.71,5.335,5.092,3
12.37,13.47,0.8567,5.204,2.96,3.919,5.001,3
10.8,12.57,0.859,4.981,2.821,4.773,5.063,3
12.21,13.47,0.8453,5.357,2.893,1.661,5.178,3
11.65,13.07,0.8575,5.108,2.85,5.209,5.135,3
11.75,13.52,0.8082,5.444,2.678,4.378,5.31,3
12.44,13.59,0.8462,5.319,2.897,4.924,5.27,3
10.79,12.93,0.8107,5.317,2.648,5.462,5.194,3
12.01,13.52,0.8249,5.405,2.776,6.992,5.27,3
12.62,13.67,0.8481,5.41,2.911,3.306,5.231,3
10.82,12.83,0.8256,5.18,2.63,4.853,5.089,3
12.67,13.32,0.8977,4.984,3.135,2.3,4.745,3
11.14,12.79,0.8558,5.011,2.794,6.388,5.049,3
12.19,13.2,0.8783,5.137,2.981,3.631,4.87,3
12.3,13.34,0.8684,5.243,2.974,5.637,5.063,3
11.27,12.97,0.8419,5.088,2.763,4.309,5,3
12.79,13.53,0.8786,5.224,3.054,5.483,4.958,3
10.93,12.8,0.839,5.046,2.717,5.398,5.045,3
12.54,13.67,0.8425,5.451,2.879,3.082,5.491,3
10.74,12.73,0.8329,5.145,2.642,4.702,4.963,3
