event,on_date,air_nox,siteid
92,7/1/2009,13.59910102,LR001
91,6/17/2009,13.59910102,LR001
90,6/3/2009,13.59910102,LR001
90,6/3/2009,13.59910102,LR001
89,5/20/2009,13.59910102,LR001
88,5/6/2009,13.59910102,LR001
87,4/22/2009,13.59910102,LR001
86,4/8/2009,13.59910102,LR001
85,3/25/2009,13.59910102,LR001
84,3/11/2009,34.83687837,LR001
83,2/25/2009,36.41318325,LR001
82,2/11/2009,55.06564168,LR001
81,1/28/2009,11.98395656,LR001
81,1/28/2009,42.18661237,LR001
81,1/28/2009,43.60414531,LR001
80,1/14/2009,50.31799,LR001
79,12/17/2008,46.13557687,LR001
78,12/2/2008,59.36666172,LR001
77,11/19/2008,68.09838253,LR001
76,11/5/2008,45.75711822,LR001
74,10/8/2008,39.54846511,LR001
75,10/22/2008,55.79296097,LR001
72,9/10/2008,33.16309877,LR001
73,9/24/2008,36.52422554,LR001
71,8/28/2008,13.59910102,LR001
71,8/28/2008,13.59910102,LR001
69,7/31/2008,13.59910102,LR001
69,7/31/2008,13.59910102,LR001
68,7/16/2008,13.59910102,LR001
70,8/13/2008,13.59910102,LR001
67,7/3/2008,13.59910102,LR001
64,5/21/2008,13.59910102,LR001
62,4/23/2008,13.59910102,LR001
66,6/18/2008,13.59910102,LR001
59,3/12/2008,35.92371201,LR001
59,3/12/2008,36.20948712,LR001
61,4/9/2008,13.59910102,LR001
60,3/26/2008,13.59910102,LR001
57,2/13/2008,30.56224509,LR001
58,2/27/2008,4.755224567,LR001
58,2/27/2008,40.29035278,LR001
56,1/29/2008,48.08604541,LR001
54,12/5/2007,59.20815055,LR001
47,8/29/2007,13.59910102,LR001
49,9/26/2007,43.81059696,LR001
48,9/12/2007,38.21613382,LR001
42,6/20/2007,13.59910102,LR001
41,6/6/2007,3.852615193,LR001
40,5/23/2007,13.59910102,LR001
39,5/9/2007,27.89138422,LR001
38,4/25/2007,28.22510184,LR001
51,10/25/2007,73.58843198,LR001
43,7/3/2007,13.59910102,LR001
41,6/6/2007,13.59910102,LR001
53,11/21/2007,70.29588008,LR001
36,3/28/2007,35.38770641,LR001
45,8/1/2007,13.59910102,LR001
52,11/7/2007,69.48476225,LR001
35,3/14/2007,40.43768384,LR001
34,2/28/2007,55.02749915,LR001
65,6/4/2008,13.59910102,LR001
33,2/14/2007,46.15705125,LR001
46,8/15/2007,13.59910102,LR001
49,9/26/2007,1.133235221,LR001
44,7/18/2007,13.59910102,LR001
27,11/27/2006,67.86550561,LR001
26,11/8/2006,84.52094876,LR001
31,1/17/2007,63.29829665,LR001
31,1/17/2007,5.084159275,LR001
29,12/20/2006,5.929504633,LR001
32,1/31/2007,85.53788507,LR001
25,10/25/2006,60.80366327,LR001
24,10/11/2006,52.11996692,LR001
23,9/27/2006,50.32564664,LR001
22,9/13/2006,3.603316341,LR001
22,9/13/2006,33.4653563,LR001
21,8/30/2006,27.56531839,LR001
31,1/17/2007,63.73712438,LR001
20,8/16/2006,27.41973722,LR001
19,8/2/2006,27.63301904,LR001
18,7/19/2006,13.59910102,LR001
17,7/5/2006,13.59910102,LR001
16,6/21/2006,32.32560654,LR001
15,6/7/2006,13.59910102,LR001
14,5/24/2006,32.25834869,LR001
12,4/26/2006,29.81804204,LR001
11,4/12/2006,4.209204632,LR001
1,11/23/2005,96.83277232,LR001
11,4/12/2006,32.77590817,LR001
11,4/12/2006,33.44761416,LR001
8,3/1/2006,47.4067904,LR001
