id,date,stagnant,Caline1.5,caline3
1313326,2012-8-18,52,0.4124,0.4736
1313326,2012-9-1,42,0.5132,0.57
1313326,2012-9-15,113,0.564,0.6386
1313326,2012-9-29,52,0.4733,0.5232
1313326,2012-10-13,38,0.4701,0.5477
1313326,2012-10-27,46,0.5866,0.6823
1313326,2012-11-10,35,0.5375,0.6167
1313326,2012-11-24,22,0.4833,0.5651
1313326,2012-12-8,40,0.4299,0.5001
1313326,2012-8-18,52,0.4124,0.4736
1313326,2012-9-1,42,0.5132,0.57
1313326,2012-9-15,113,0.564,0.6386
1313326,2012-9-29,52,0.4733,0.5232
1313326,2012-10-13,38,0.4701,0.5477
1313326,2012-10-27,46,0.5866,0.6823
1313326,2012-11-10,35,0.5375,0.6167
1313326,2012-11-24,22,0.4833,0.5651
1313326,2012-12-8,40,0.4299,0.5001
1313796,2012-8-18,52,0.4085,0.4866
1313796,2012-9-1,42,0.3503,0.4383
1313796,2012-9-15,113,0.4571,0.5573
1313796,2012-9-29,52,0.3919,0.462
1313796,2012-10-13,38,0.499,0.5836
1313796,2012-10-27,46,0.6145,0.6943
1313796,2012-11-10,35,0.5582,0.6192
1313796,2012-11-24,22,0.4146,0.518
1313796,2012-12-8,40,0.4513,0.5325
1314194,2012-8-18,52,0.8613,0.9141
1314194,2012-9-1,42,0.3914,0.4692
1314194,2012-9-15,113,0.8046,0.8704
1314194,2012-9-29,52,0.6368,0.7046
1314194,2012-10-13,38,1.1744,1.2411
1314194,2012-10-27,46,1.2777,1.3603
1314194,2012-11-10,35,1.3466,1.4205
1314194,2012-11-24,22,0.851,0.9286
1314194,2012-12-8,40,1.0053,1.0678
1317199,2012-8-18,52,0.1248,0.1694
1317199,2012-9-1,42,0.1822,0.2734
1317199,2012-9-15,113,0.2029,0.2833
1317199,2012-9-29,52,0.1759,0.2459
1317199,2012-10-13,38,0.1234,0.2038
1317199,2012-10-27,46,0.1955,0.2888
1317199,2012-11-10,35,0.1338,0.2256
1317199,2012-11-24,22,0.1185,0.1914
1317199,2012-12-8,40,0.0921,0.1542
1317381,2012-8-18,52,0.1625,0.2064
1317381,2012-9-1,42,0.138,0.2107
1317381,2012-9-15,113,0.2314,0.3009
1317381,2012-9-29,52,0.1477,0.2255
1317381,2012-10-13,38,0.1523,0.2226
1317381,2012-10-27,46,0.1731,0.2544
1317381,2012-11-10,35,0.1337,0.2032
1317381,2012-11-24,22,0.1326,0.2105
1317381,2012-12-8,40,0.1294,0.1819
1317488,2012-8-18,52,0.1336,0.1758
1317488,2012-9-1,42,0.1456,0.2259
1317488,2012-9-15,113,0.2219,0.2951
1317488,2012-9-29,52,0.1644,0.2346
1317488,2012-10-13,38,0.1188,0.1957
1317488,2012-10-27,46,0.1662,0.2513
1317488,2012-11-10,35,0.1183,0.2014
1317488,2012-11-24,22,0.1055,0.1759
1317488,2012-12-8,40,0.087,0.1445
1317493,2012-8-18,52,0.2104,0.2551
1317493,2012-9-1,42,0.1913,0.2709
1317493,2012-9-15,113,0.3276,0.4056
1317493,2012-9-29,52,0.1834,0.2663
1317493,2012-10-13,38,0.1998,0.275
1317493,2012-10-27,46,0.2062,0.2887
1317493,2012-11-10,35,0.1754,0.2532
1317493,2012-11-24,22,0.1806,0.2576
1317493,2012-12-8,40,0.1569,0.212
1317847,2012-8-18,52,0.1924,0.2726
1317847,2012-9-1,42,0.1338,0.2179
1317847,2012-9-15,113,0.267,0.3614
1317847,2012-9-29,52,0.1474,0.2328
1317847,2012-10-13,38,0.2142,0.3093
1317847,2012-10-27,46,0.2199,0.3342
1317847,2012-11-10,35,0.2168,0.3157
1317847,2012-11-24,22,0.1474,0.2485
1317847,2012-12-8,40,0.1613,0.2509
1323514,2012-8-18,52,0.3873,0.4576
1323514,2012-9-1,42,0.3499,0.4329
1323514,2012-9-15,113,0.665,0.7789
1323514,2012-9-29,52,0.3335,0.4059
1323514,2012-10-13,38,0.3361,0.4072
1323514,2012-10-27,46,0.2872,0.3526
1323514,2012-11-10,35,0.3274,0.387
1323514,2012-11-24,22,0.2726,0.3704
1323514,2012-12-8,40,0.2299,0.2948
1323743,2012-8-18,52,0.1066,0.1517
1323743,2012-9-1,42,0.1426,0.2321
1323743,2012-9-15,113,0.1656,0.244
1323743,2012-9-29,52,0.1459,0.2113
1323743,2012-10-13,38,0.1032,0.1812
1323743,2012-10-27,46,0.1523,0.2454
1323743,2012-11-10,35,0.1006,0.1849
1323743,2012-11-24,22,0.0992,0.1745
1323743,2012-12-8,40,0.0788,0.1396
1326017,2012-8-18,52,0.2401,0.2843
1326017,2012-9-1,42,0.3619,0.4323
1326017,2012-9-15,113,0.3662,0.4496
1326017,2012-9-29,52,0.2909,0.3439
1326017,2012-10-13,38,0.2772,0.3496
1326017,2012-10-27,46,0.4213,0.4981
1326017,2012-11-10,35,0.3095,0.3998
1326017,2012-11-24,22,0.303,0.3731
1326017,2012-12-8,40,0.2461,0.3079
1326216,2012-8-18,52,0.1526,0.2058
1326216,2012-9-1,42,0.3472,0.4046
1326216,2012-9-15,113,0.3138,0.3991
1326216,2012-9-29,52,0.2557,0.3059
1326216,2012-10-13,38,0.1563,0.2354
1326216,2012-10-27,46,0.2772,0.3468
1326216,2012-11-10,35,0.2069,0.3085
1326216,2012-11-24,22,0.2153,0.2847
1326216,2012-12-8,40,0.1285,0.1951
1326326,2012-8-18,52,0.9929,1.0414
1326326,2012-9-1,42,0.3546,0.4197
1326326,2012-9-15,113,0.9544,1.0435
1326326,2012-9-29,52,0.5377,0.5931
1326326,2012-10-13,38,1.1533,1.2101
1326326,2012-10-27,46,0.8187,0.8802
1326326,2012-11-10,35,0.8506,0.9402
1326326,2012-11-24,22,0.8574,0.9253
1326326,2012-12-8,40,0.9482,1.0011
1326431,2012-8-18,52,0.3767,0.4355
1326431,2012-9-1,42,0.1523,0.2139
1326431,2012-9-15,113,0.4395,0.529
1326431,2012-9-29,52,0.2125,0.2676
1326431,2012-10-13,38,0.3978,0.4549
1326431,2012-10-27,46,0.2812,0.3404
1326431,2012-11-10,35,0.2917,0.375
1326431,2012-11-24,22,0.3001,0.3619
1326431,2012-12-8,40,0.3131,0.3638
1326438,2012-8-18,52,0.6078,0.6631
1326438,2012-9-1,42,0.2228,0.2807
1326438,2012-9-15,113,0.6778,0.7634
1326438,2012-9-29,52,0.3539,0.4076
1326438,2012-10-13,38,0.6424,0.7003
1326438,2012-10-27,46,0.4813,0.5385
1326438,2012-11-10,35,0.5229,0.6123
1326438,2012-11-24,22,0.4779,0.5362
1326438,2012-12-8,40,0.5238,0.5766
1346518,2012-8-18,52,0.0955,0.1483
1346518,2012-9-1,42,0.0371,0.1143
1346518,2012-9-15,113,0.117,0.2036
1346518,2012-9-29,52,0.0605,0.1271
1346518,2012-10-13,38,0.1014,0.1541
1346518,2012-10-27,46,0.0717,0.1572
1346518,2012-11-10,35,0.0633,0.1235
1346518,2012-11-24,22,0.0793,0.1398
1346518,2012-12-8,40,0.0801,0.1275
1346561,2012-8-18,52,0.3922,0.4232
1346561,2012-9-1,42,0.3996,0.4427
1346561,2012-9-15,113,0.6155,0.6677
1346561,2012-9-29,52,0.358,0.3968
1346561,2012-10-13,38,0.4096,0.4415
1346561,2012-10-27,46,0.371,0.4152
1346561,2012-11-10,35,0.3569,0.3978
1346561,2012-11-24,22,0.3989,0.4332
1346561,2012-12-8,40,0.3269,0.3603
1346665,2012-8-18,52,0.2593,0.2892
1346665,2012-9-1,42,0.2672,0.3083
1346665,2012-9-15,113,0.4045,0.4555
1346665,2012-9-29,52,0.2423,0.2783
1346665,2012-10-13,38,0.2704,0.3026
1346665,2012-10-27,46,0.254,0.2972
1346665,2012-11-10,35,0.2391,0.2793
1346665,2012-11-24,22,0.2622,0.2958
1346665,2012-12-8,40,0.2167,0.2494
1346704,2012-8-18,52,0.1184,0.1753
1346704,2012-9-1,42,0.0438,0.1228
1346704,2012-9-15,113,0.1218,0.2174
1346704,2012-9-29,52,0.0742,0.1446
1346704,2012-10-13,38,0.1286,0.1892
1346704,2012-10-27,46,0.1016,0.1938
1346704,2012-11-10,35,0.0864,0.1568
1346704,2012-11-24,22,0.1005,0.164
1346704,2012-12-8,40,0.1083,0.1587
1346724,2012-8-18,52,0.1773,0.2193
1346724,2012-9-1,42,0.0671,0.1274
1346724,2012-9-15,113,0.222,0.2883
1346724,2012-9-29,52,0.1036,0.1598
1346724,2012-10-13,38,0.1668,0.2066
1346724,2012-10-27,46,0.1144,0.1779
1346724,2012-11-10,35,0.1281,0.1792
1346724,2012-11-24,22,0.1181,0.1656
1346724,2012-12-8,40,0.1262,0.1656
1346737,2012-8-18,52,0.3543,0.3882
1346737,2012-9-1,42,0.8174,0.8654
1346737,2012-9-15,113,0.7652,0.8218
1346737,2012-9-29,52,0.6226,0.6694
1346737,2012-10-13,38,0.5083,0.5463
1346737,2012-10-27,46,0.7639,0.8171
1346737,2012-11-10,35,0.8309,0.8824
1346737,2012-11-24,22,0.5232,0.5627
1346737,2012-12-8,40,0.4244,0.4631
1346741,2012-8-18,52,0.1643,0.1982
1346741,2012-9-1,42,0.2022,0.2527
1346741,2012-9-15,113,0.2848,0.3417
1346741,2012-9-29,52,0.1716,0.219
1346741,2012-10-13,38,0.2904,0.3254
1346741,2012-10-27,46,0.2973,0.347
1346741,2012-11-10,35,0.4485,0.4972
1346741,2012-11-24,22,0.2003,0.2396
1346741,2012-12-8,40,0.2293,0.2663
1346812,2012-8-18,52,0.0849,0.1139
1346812,2012-9-1,42,0.1325,0.1728
1346812,2012-9-15,113,0.159,0.2093
1346812,2012-9-29,52,0.0953,0.1303
1346812,2012-10-13,38,0.0949,0.126
1346812,2012-10-27,46,0.1315,0.1726
1346812,2012-11-10,35,0.1121,0.1512
1346812,2012-11-24,22,0.0971,0.1283
1346812,2012-12-8,40,0.0746,0.1054
1346813,2012-8-18,52,0.1941,0.2139
1346813,2012-9-1,42,0.1435,0.1754
1346813,2012-9-15,113,0.2701,0.3053
1346813,2012-9-29,52,0.1508,0.1722
1346813,2012-10-13,38,0.1971,0.2223
1346813,2012-10-27,46,0.1638,0.2015
1346813,2012-11-10,35,0.143,0.1752
1346813,2012-11-24,22,0.181,0.2104
1346813,2012-12-8,40,0.1592,0.1797
1346815,2012-8-18,52,0.1418,0.1619
1346815,2012-9-1,42,0.1164,0.1466
1346815,2012-9-15,113,0.2093,0.2434
1346815,2012-9-29,52,0.1153,0.1357
1346815,2012-10-13,38,0.1345,0.1578
1346815,2012-10-27,46,0.1227,0.1575
1346815,2012-11-10,35,0.1045,0.1341
1346815,2012-11-24,22,0.1243,0.151
1346815,2012-12-8,40,0.109,0.129
1346927,2012-8-18,52,0.1102,0.1693
1346927,2012-9-1,42,0.0426,0.127
1346927,2012-9-15,113,0.1137,0.2147
1346927,2012-9-29,52,0.071,0.145
1346927,2012-10-13,38,0.1195,0.1829
1346927,2012-10-27,46,0.0958,0.1917
1346927,2012-11-10,35,0.0814,0.1551
1346927,2012-11-24,22,0.0949,0.1627
1346927,2012-12-8,40,0.1013,0.154
1348908,2012-8-18,52,0.0371,0.0489
1348908,2012-9-1,42,0.0401,0.0663
1348908,2012-9-15,113,0.0586,0.0789
1348908,2012-9-29,52,0.0411,0.0662
1348908,2012-10-13,38,0.0313,0.0513
1348908,2012-10-27,46,0.0485,0.0813
1348908,2012-11-10,35,0.0348,0.0623
1348908,2012-11-24,22,0.0258,0.0487
1348908,2012-12-8,40,0.0293,0.0439
1352034,2012-8-18,52,0.4998,0.5488
1352034,2012-9-1,42,0.3193,0.378
1352034,2012-9-15,113,0.6551,0.7185
1352034,2012-9-29,52,0.3979,0.4736
1352034,2012-10-13,38,0.6055,0.6743
1352034,2012-10-27,46,0.5868,0.66
1352034,2012-11-10,35,0.6218,0.7113
1352034,2012-11-24,22,0.4832,0.5565
1352034,2012-12-8,40,0.5054,0.5683
1352442,2012-8-18,52,0.2782,0.3271
1352442,2012-9-1,42,0.2046,0.2604
1352442,2012-9-15,113,0.377,0.4528
1352442,2012-9-29,52,0.2293,0.2976
