name,cyl,volume,hp,weight,accel,year,continent,mpg
ford torino,8,302,140,3449,10.5,70,1,17
plymouth 'cuda 340,8,340,160,3609,8,70,1,14
audi 100 ls,4,107,90,2430,14.5,70,2,24
bmw 2002,4,121,113,2234,12.5,70,2,26
dodge d200,8,318,210,4382,13.5,70,1,11
toyota corona,4,113,95,2228,14,71,3,25
ford galaxie 500,8,351,153,4154,13.5,71,1,14
chevrolet vega (sw),4,140,72,2408,19,71,1,22
mercury capri 2000,4,122,86,2220,14,71,1,23
chevrolet impala,8,350,165,4274,12,72,1,13
buick lesabre custom,8,350,155,4502,13.5,72,1,13
oldsmobile delta 88 royale,8,350,160,4456,13.5,72,1,12
mazda rx2 coupe,3,70,97,2330,13.5,72,3,19
volvo 145e (sw),4,121,112,2933,14.5,72,2,18
renault 12 (sw),4,96,69,2189,18,72,2,26
toyota corolla 1600 (sw),4,97,88,2100,16.5,72,3,27
buick century 350,8,350,175,4100,13,73,1,13
dodge coronet custom,8,318,150,3777,12.5,73,1,15
plymouth fury gran sedan,8,318,150,4237,14.5,73,1,14
plymouth valiant,6,225,105,3121,16.5,73,1,18
chevrolet nova custom,6,250,100,3278,18,73,1,16
ford country,8,400,167,4906,12.5,73,1,12
oldsmobile vista cruiser,8,350,180,4499,12.5,73,1,12
chevrolet vega,4,140,72,2401,19.5,73,1,21
chevrolet monte carlo s,8,350,145,4082,13,73,1,15
saab 99le,4,121,110,2660,14,73,2,24
oldsmobile omega,8,350,180,3664,11,73,1,11
datsun b210,4,79,67,1950,19,74,3,31
ford gran torino,8,302,140,4141,14,74,1,16
buick century luxus (sw),8,350,150,4699,14.5,74,1,13
dodge coronet custom (sw),8,318,150,4457,13.5,74,1,14
amc matador (sw),8,304,150,4257,15.5,74,1,14
honda civic,4,120,97,2489,15,74,3,24
fiat x1.9,4,79,67,2000,16,74,2,31
ford maverick,6,250,72,3158,19.5,75,1,15
plymouth fury,6,225,95,3785,19,75,1,18
chevrolet monza 2+2,8,262,110,3221,13.5,75,1,20
ford pinto,4,140,83,2639,17,75,1,23
pontiac astro,4,140,78,2592,18.5,75,1,23
saab 99le,4,121,115,2671,13.5,75,2,25
opel 1900,4,116,81,2220,16.9,76,2,25
ford gran torino,8,351,152,4215,12.8,76,1,14.5
plymouth valiant,6,225,100,3233,15.4,76,1,22
amc hornet,6,232,90,3085,17.6,76,1,22.5
ford granada ghia,6,250,78,3574,21,76,1,18
pontiac ventura sj,6,250,110,3645,16.2,76,1,18.5
amc pacer d/l,6,258,95,3193,17.8,76,1,17.5
toyota corolla,4,97,75,2155,16.4,76,3,28
ford pinto,4,140,72,2565,13.6,76,1,26.5
plymouth volare premier v8,8,318,150,3940,13.2,76,1,13
peugeot 504,4,120,88,3270,21.9,76,2,19
toyota mark ii,6,156,108,2930,15.5,76,3,19
mercedes-benz 280s,6,168,120,3820,16.7,76,2,16.5
cadillac seville,8,350,180,4380,12.1,76,1,16.5
chevy c10,8,350,145,4055,12,76,1,13
ford f108,8,302,130,3870,15,76,1,13
honda accord cvcc,4,98,68,2045,18.5,77,3,31.5
buick opel isuzu deluxe,4,111,80,2155,14.8,77,1,30
plymouth arrow gs,4,122,96,2300,15.5,77,1,25.5
chevrolet caprice classic,8,305,145,3880,12.5,77,1,17.5
ford granada,6,250,98,3525,19,77,1,18.5
volkswagen rabbit custom,4,97,78,1940,14.5,77,2,29
bmw 320i,4,121,110,2600,12.8,77,2,21.5
ford fiesta,4,98,66,1800,14.4,78,1,36.1
oldsmobile cutlass salon brougham,8,260,110,3365,15.5,78,1,19.9
plymouth volare,6,225,100,3430,17.2,78,1,20.5
dodge aspen,6,225,110,3620,18.7,78,1,18.6
ford futura,8,302,139,3205,11.2,78,1,18.1
plymouth sapporo,4,156,105,2745,16.7,78,1,23.2
saab 99gle,4,121,115,2795,15.7,78,2,21.6
volkswagen scirocco,4,89,71,1990,14.9,78,2,31.5
pontiac lemans v6,6,231,115,3245,15.4,79,1,21.5
ford fairmont 4,4,140,88,2890,17.3,79,1,22.3
chevrolet caprice classic,8,305,130,3840,15.4,79,1,17
maxda glc deluxe,4,86,65,1975,15.2,79,3,34.1
dodge colt hatchback custom,4,98,80,1915,14.4,79,1,35.7
mercedes benz 300d,5,183,77,3530,20.1,79,2,25.4
cadillac eldorado,8,350,125,3900,17.4,79,1,23
fiat strada custom,4,91,69,2130,14.7,79,2,37.3
buick skylark limited,4,151,90,2670,16,79,1,28.4
chevrolet citation,6,173,115,2595,11.3,79,1,28.8
pontiac phoenix,4,151,90,2556,13.2,79,1,33.5
datsun 310,4,86,65,2019,16.4,80,3,37.2
dodge aspen,6,225,90,3381,18.7,80,1,19.1
audi 4000,4,97,78,2188,15.8,80,2,34.3
mazda glc,4,86,65,2110,17.9,80,3,46.6
vw dasher (diesel),4,90,48,2335,23.7,80,2,43.4
honda accord,4,107,72,2290,17,80,3,32.4
dodge aries wagon (sw),4,156,92,2620,14.4,81,1,25.8
plymouth champ,4,86,64,1875,16.4,81,1,39
toyota corolla,4,108,75,2350,16.8,81,3,32.4
chevrolet cavalier,4,112,88,2605,19.6,82,1,28
chevrolet cavalier 2-door,4,112,88,2395,18,82,1,34
ford fairmont futura,4,140,92,2865,16.4,82,1,24
amc concord dl,4,151,90,3035,20.5,82,1,23
volkswagen rabbit l,4,105,74,1980,15.3,82,2,36
plymouth horizon miser,4,105,63,2125,14.7,82,1,38
mercury lynx l,4,98,70,2125,17.3,82,1,36
honda civic (auto),4,91,67,1965,15.7,82,3,32
datsun 310 gx,4,91,67,1995,16.2,82,3,38
