#YY  MM DD hh mm WDIR WSPD GDR GST GTIME
#yr  mo dy hr mn degT m/s degT m/s hhmm
2011 12 31 23 00 279  2.6 999 99.0 9999
2011 12 31 23 10 273  2.4 999 99.0 9999
2011 12 31 23 20 284  2.8 999 99.0 9999
2011 12 31 23 30 289  3.0 999 99.0 9999
2011 12 31 23 40 295  3.4 999 99.0 9999
2011 12 31 23 50 304  2.8 298  4.6 2335
2012 01 01 00 00 302  3.8 999 99.0 9999
2012 01 01 00 10 305  4.6 999 99.0 9999
2012 01 01 00 20 313  4.3 999 99.0 9999
2012 01 01 00 30 324  4.0 999 99.0 9999
2012 01 01 00 40 323  4.1 999 99.0 9999
2012 01 01 00 50 321  4.0 303  6.2 0005
2012 01 01 01 00 332  3.3 999 99.0 9999
2012 01 01 01 10 321  2.7 999 99.0 9999
2012 01 01 01 20 326  2.1 999 99.0 9999
2012 01 01 01 30 321  2.0 999 99.0 9999
2012 01 01 01 40 318  2.3 999 99.0 9999
2012 01 01 01 50 323  3.4 320  4.8 0149
2012 01 01 02 00 324  3.8 999 99.0 9999
2012 01 01 02 10 330  5.0 999 99.0 9999
2012 01 01 02 20 336  4.4 999 99.0 9999
2012 01 01 02 30 337  5.2 999 99.0 9999
2012 01 01 02 40 337  5.9 999 99.0 9999
2012 01 01 02 50 336  4.5 338  7.3 0238
2012 01 01 03 00 330  3.8 999 99.0 9999
2012 01 01 03 10 337  3.2 999 99.0 9999
2012 01 01 03 20 341  3.8 999 99.0 9999
2012 01 01 03 30 341  4.2 999 99.0 9999
2012 01 01 03 40 337  3.9 999 99.0 9999
2012 01 01 03 50 343  4.1 334  6.2 0326
2012 01 01 04 00 339  3.9 999 99.0 9999
2012 01 01 04 10 339  3.6 999 99.0 9999
2012 01 01 04 20 340  3.1 999 99.0 9999
2012 01 01 04 30 341  2.9 999 99.0 9999
2012 01 01 04 40 335  2.1 999 99.0 9999
2012 01 01 04 50 336  1.4 326  5.0 0357
2012 01 01 05 00 350  1.2 999 99.0 9999
2012 01 01 05 10 330  0.9 999 99.0 9999
2012 01 01 05 20 312  0.6 999 99.0 9999
2012 01 01 05 30 333  0.7 999 99.0 9999
2012 01 01 05 40 351  1.5 999 99.0 9999
2012 01 01 05 50 337  2.0 323  3.3 0542
2012 01 01 06 00 334  2.3 999 99.0 9999
2012 01 01 06 10 348  2.0 999 99.0 9999
2012 01 01 06 20 346  2.9 999 99.0 9999
2012 01 01 06 30 355  3.1 999 99.0 9999
2012 01 01 06 40 354  3.0 999 99.0 9999
2012 01 01 06 50   1  3.3 357  4.2 0643
2012 01 01 07 00 360  3.4 999 99.0 9999
2012 01 01 07 10   3  3.4 999 99.0 9999
2012 01 01 07 20   5  3.6 999 99.0 9999
2012 01 01 07 30 353  3.2 999 99.0 9999
2012 01 01 07 40 349  2.9 999 99.0 9999
2012 01 01 07 50 360  2.6  11  4.9 0710
2012 01 01 08 00 355  2.2 999 99.0 9999
2012 01 01 08 10  11  2.3 999 99.0 9999
