class	species	area	members	vulnerable	ratio
l	Phleum	33	31	17	1.214285714
n	Parentucellia	176	31	13	0.722222222
s	Orchis	8	43	18	0.72
m	Lotus	100	17	6	0.545454545
r	Carex	294	45	15	0.5
h	Rumex	590	31	9	0.409090909
f	Bromopsis	801	90	20	0.285714286
o	Crithmum	316	47	8	0.205128205
p	Puccinellia	97	36	6	0.2
e	Hypericum	1744	59	8	0.156862745
q	Parapholis	352	31	4	0.148148148
i	Crepis	1162	68	8	0.133333333
j	Festuca	801	61	7	0.12962963
a	Clematis	954	81	9	0.125
c	Myosotis	1188	27	3	0.125
k	Sibbaldia	133	66	6	0.1
t	Glaux	947	58	4	0.074074074
b	Bryonia	1008	86	1	0.011764706
d	Calluna	2445	80	0	0
g	Alliaria	1999	161	0	0
u	Cynosurus	2758	225	0	0
