State	Flowers	Root
0	165	1.57
0	41	0.2
0	33	0.2
0	141	0.91
0	150	2.36
0	21	0.2
0	35	0.2
0	57	0.66
0	108	1.57
1	38	0.66
1	41	0.44
0	37	0.2
0	86	0.66
0	32	0.25
1	45	0.55
0	26	0.2
0	143	1.57
0	39	0.25
1	20	0.2
0	50	0.44
0	29	0.1
1	75	1.18
0	60	0.2
1	47	0.2
0	10	0.05
0	81	0.55
1	16	0.29
0	133	0.88
0	54	0.25
0	57	0.04
0	17	0.2
1	20	0.55
0	77	0.15
0	20	0.1
0	41	0.2
1	32	0.3
0	63	0.66
1	9	0.2
0	7	0.02
1	46	0.55
1	15	0.25
0	24	0.15
0	12	0.01
0	18	0.15
1	35	0.25
1	29	0.39
0	21	0.25
1	12	0.25
0	45	0.2
0	21	0.25
0	59	0.44
1	35	0.98
1	60	0.66
1	35	0.44
1	59	0.66
1	16	0.15
1	65	1.57
1	25	0.44
1	89	1.97
