from	to	freq
0	0	1329
1	0	218
2	0	214
4	0	222
8	0	171
16	0	114
32	0	39
64	0	9
128	0	5
0	1	101
1	1	19
2	1	27
4	1	20
8	1	22
16	1	9
32	1	8
64	1	1
128	1	2
0	2	92
1	2	25
2	2	27
4	2	36
8	2	42
16	2	45
32	2	4
64	2	5
128	2	2
0	4	92
1	4	19
2	4	41
4	4	41
8	4	53
16	4	40
32	4	16
64	4	5
128	4	1
0	8	54
1	8	9
2	8	22
4	8	33
8	8	64
16	8	30
32	8	21
64	8	6
128	8	4
0	16	31
1	16	12
2	16	11
4	16	25
8	16	32
16	16	48
32	16	25
64	16	3
128	16	5
0	32	10
1	32	2
2	32	3
4	32	6
8	32	11
16	32	27
32	32	8
64	32	5
128	32	3
0	64	3
1	64	0
2	64	0
4	64	2
8	64	0
16	64	6
32	64	2
64	64	0
128	64	4
0	128	7
1	128	1
2	128	0
4	128	0
8	128	0
16	128	1
32	128	1
64	128	2
128	128	3
