xvalues	yvalues
0	0.062731954
0.02	11.24579655
0.04	13.58265422
0.06	15.10266693
0.08	16.32155649
0.1	17.34692739
0.12	18.21163282
0.14	18.95004852
0.16	19.57302982
0.18	20.14684122
0.2	20.73519153
0.22	21.34161004
0.24	21.86545585
0.26	22.26747557
0.28	22.80085017
0.3	23.31319749
0.32	23.66159626
0.34	24.10097538
0.36	24.4025692
0.38	24.69315409
0.4	25.12203995
0.42	25.47443793
0.44	25.66442772
0.46	26.06235104
0.48	26.38603228
0.5	26.58691228
0.52	27.01624715
0.54	27.13767631
0.56	27.55541829
0.58	27.64019485
0.6	28.05857433
0.62	28.19511538
0.64	28.37541189
0.66	28.74764551
0.68	28.9740344
0.7	29.11688579
0.72	29.3347967
0.74	29.64571015
0.76	29.88244694
0.78	29.95222182
0.8	30.12911988
0.82	30.45170137
0.84	30.58736261
0.86	30.91053726
0.88	31.10749015
0.9	31.24815568
0.92	31.30385718
0.94	31.66185869
0.96	31.73268711
0.98	31.8555404
1	32.10679365
