x	y
22.66917	29.89675
295.3707	279.7093
211.9079	99.31481
139.8888	159.9461
285.5218	288.9484
70.74947	269.2621
286.0899	9.58802
14.52217	297.8206
271.0151	297.1463
208.7885	288.6464
262.8461	10.60422
86.87971	207.691
33.56936	108.207
55.76747	79.24268
102.5884	84.91313
47.15822	81.0746
46.44434	97.90368
232.8946	251.8508
246.6716	28.75056
160.2099	30.28703
44.50727	58.46737
192.1884	197.0972
145.1378	47.45856
159.1008	75.01125
92.84148	63.61949
105.7238	119.8169
115.8373	275.9797
280.9687	259.5101
150.0375	190.0527
226.2307	86.98728
284.9803	55.33406
9.763128	126.1699
193.4085	21.18046
120.2398	228.5584
10.02421	268.0771
188.3606	143.3177
43.94099	272.3909
70.30874	6.034044
25.50323	208.7066
64.07297	255.0756
23.53909	2.984358
166.1279	54.24362
185.2266	127.6653
248.4483	77.64161
229.0537	234.924
158.8754	262.2518
6.833937	232.5006
241.7476	265.0733
246.6968	172.4972
189.0418	130.3856
219	230
221	266
263	250
217	253
117	20
