return	bank
1.28034345	7
3.84750239	8
5.67305754	10
3.02501915	6
2.82773488	3
1.99277115	2
4.00685117	9
3.29573906	9
3.44262526	10
0.55083085	1
2.97563649	8
3.15332563	6
2.29473666	9
5.53881653	7
2.98653126	3
2.35252193	7
3.25458958	1
0.72697833	8
2.77992699	3
2.53187515	4
2.40195544	8
2.24021297	4
1.25987999	3
-0.10525477	2
0.45596808	10
1.99903072	9
4.19909649	10
3.56785427	7
2.19333486	5
2.83821485	5
3.53283182	2
1.20342205	4
2.07999971	8
3.15433278	10
5.64591895	10
4.50880163	7
3.15501326	5
2.15781049	1
2.68090278	5
1.00363176	3
3.83271249	4
1.64541144	3
1.118257	4
3.62439669	10
1.04434786	8
3.2499928	4
3.86770345	8
1.15054998	5
3.40502848	9
1.97463575	3
1.70039401	10
3.06885879	2
2.69871681	8
3.45550526	7
3.09820147	3
2.61413944	8
0.55678039	2
3.05579375	8
1.7711893	10
2.31218508	3
2.73710696	7
1.93601693	3
2.29234006	5
3.16572079	8
4.25432451	9
2.13288111	4
2.62185001	3
2.94109395	5
4.35337251	5
-0.23554188	1
4.16309868	9
2.27736011	9
0.48072025	4
4.46231057	8
2.49881123	9
2.04365761	7
3.51344566	4
1.35761965	5
1.79512877	2
1.11465723	3
3.07821323	3
1.40416812	4
2.98088521	7
4.33462061	8
3.26758729	4
4.29853072	7
1.131071	3
1.18666619	10
2.90802789	1
2.34723834	4
1.08274432	1
2.45565547	6
3.95962845	8
2.87433382	1
1.42866897	7
2.80437779	5
3.82805798	8
1.54282278	3
1.97241935	5
2.85656713	3
2.13906721	6
1.11487815	8
2.7560242	7
2.97576059	7
3.05541667	6
2.02130648	6
2.68125087	6
1.90469821	6
1.56266976	6
1.92149359	7
3.8096593	6
5.65266452	8
0.74614706	2
2.85226541	9
1.80130823	1
1.23134464	1
4.21892842	8
2.15551623	7
0.40710246	1
2.77320751	3
4.35170014	8
1.67322233	3
3.01101815	9
1.22413249	1
2.68838458	4
2.99781772	8
-0.0736213	2
3.89986802	10
2.10088037	8
3.06344159	8
0.87819238	5
2.51512374	5
2.22347332	5
1.58045649	6
1.72887198	6
2.53851847	5
2.20490411	1
0.57708783	1
2.80308535	6
3.40178148	8
2.25507692	7
-0.45316778	1
0.7575712	3
2.82165237	5
4.09743692	9
0.34927923	4
1.50472532	10
1.24852256	1
2.7239251	5
2.01177844	3
1.75593568	7
2.12056384	4
0.47690739	2
2.79081124	6
1.85775935	1
0.23121165	1
3.23221612	7
3.12086846	10
4.03971857	4
2.58232522	6
2.97783224	8
2.94754657	5
4.14007564	8
-0.58648943	1
2.35243887	3
4.30026646	9
3.45495776	5
2.07316777	6
1.69176437	1
2.30684772	5
0.48844422	1
2.71404692	5
2.56281929	3
3.5865486	6
2.76978768	3
3.34990103	10
1.95533907	3
4.45054306	7
0.38773211	3
1.64490078	2
3.52721552	10
1.08240242	1
2.62872899	6
3.84246804	8
2.11885158	9
1.81749495	2
0.04000252	3
2.71261272	3
3.94559024	6
4.63563015	10
2.96063376	7
2.36385736	3
3.98845469	2
3.59933158	9
2.0971329	2
3.77112152	8
1.57314927	4
1.56758629	1
1.59112773	8
1.83627053	3
2.43298976	6
1.09397504	3
0.92148825	4
2.49255669	5
2.86156282	6
1.83490216	6
3.11650202	8
2.26062462	9
1.05791982	1
2.82097486	6
2.8920893	8
0.19942999	1
2.0738441	7
3.06246478	6
4.85913122	6
1.37363336	2
0.78586047	3
1.39648697	5
3.43037295	9
4.63448305	8
1.87806137	3
-0.02078806	10
1.06925977	4
2.82440907	1
4.31326388	10
2.63233705	7
0.29869285	10
3.3773456	9
2.27163664	10
1.97013449	4
0.64641622	1
2.53415804	7
3.25966832	5
3.74797662	7
2.56456438	1
0.59414819	8
3.05329032	9
1.11912709	1
3.02481013	7
1.7530425	5
1.67222849	8
4.69929307	9
2.17868914	4
0.64278519	10
3.76068284	3
3.48203333	10
2.05622672	6
3.4656554	3
4.13350555	8
1.8611771	3
0.70394418	1
2.70819994	8
0.12548434	3
1.47852197	3
2.11750692	3
1.09415326	6
2.45207173	1
1.23369962	1
0.52302368	3
1.47729214	6
2.21706674	5
1.55891896	7
4.79929723	8
1.81302493	7
1.62304223	4
4.35689851	9
2.1365357	5
0.67314419	1
2.26650883	5
1.87514139	8
2.00471945	3
3.97751939	9
2.83387766	4
3.0434149	7
2.05999251	1
2.09332825	7
2.58803566	7
5.13847046	7
0.34948124	1
3.56775535	9
0.49433678	1
3.63616446	4
2.97879223	3
0.5809626	6
1.72571385	10
2.2019115	3
3.60349962	3
2.79550072	4
3.37023646	6
2.75630497	10
0.76707119	1
0.07519662	1
3.22810817	10
1.83932915	10
1.37189331	5
2.56750481	9
2.47540764	8
2.59153115	7
1.554195	1
2.60154224	2
4.06344649	10
1.51394571	2
1.85515744	5
2.81572079	5
3.85080401	8
0.19678965	1
3.63583047	6
-0.96316993	10
1.20154144	9
2.68700207	8
1.88304976	1
1.10019344	3
1.96503119	3
2.66302363	8
2.23976628	10
2.03137765	4
2.25776951	10
1.95768447	4
2.67749136	7
