xc	yc	fac
1	3.439213	A
2	-7.188759	A
3	2.130948	A
4	4.393686	A
5	4.496872	A
6	19.668375	A
7	-2.921982	A
8	25.469655	A
9	11.609028	A
10	34.69287	A
11	21.439326	A
12	21.309339	A
13	16.201016	A
14	18.862497	A
15	31.096093	A
16	48.837326	A
17	45.308408	A
18	27.343722	A
19	35.335297	A
20	31.207855	A
21	44.047618	A
22	55.870289	A
23	49.464316	A
24	54.767377	A
25	41.809375	A
26	45.501755	A
27	37.770661	A
28	28.041788	A
29	75.418187	A
30	60.820272	A
1	-1.942576	B
2	23.320937	B
3	-7.53751	B
4	18.764924	B
5	27.717552	B
6	26.748989	B
7	23.92948	B
8	37.882964	B
9	26.502756	B
10	15.228308	B
11	34.784056	B
12	20.676689	B
13	39.71759	B
14	39.885906	B
15	46.635104	B
16	67.413816	B
17	54.30126	B
18	64.33031	B
19	59.039968	B
20	76.951542	B
21	68.124681	B
22	56.663716	B
23	70.021508	B
24	68.246305	B
25	81.528098	B
26	106.932502	B
27	84.385031	B
28	83.856027	B
29	89.445248	B
30	96.104267	B
