size	location
29.3114	A
25.96292	A
24.47853	A
22.94904	A
22.25191	A
25.20959	A
19.33376	A
25.78789	A
22.56246	A
25.52483	A
22.73126	A
23.48272	A
25.81436	A
23.61457	A
24.72731	A
28.36228	A
24.51804	A
16.98068	A
28.37925	A
24.2059	A
26.11796	A
29.06467	A
22.06382	A
22.88138	A
23.44479	A
21.18421	A
20.47674	A
23.77729	A
20.26934	A
19.18757	A
32.91597	A
24.23003	A
23.11119	A
19.48177	A
29.05983	A
22.77284	A
23.14654	A
26.00667	A
22.45082	A
22.07384	A
27.90548	A
22.82924	A
24.0134	A
19.48367	A
22.19061	A
23.63771	A
26.165	A
28.8833	A
28.86669	A
21.99278	A
29.81984	B
25.58656	B
25.08861	B
29.47527	B
29.4917	B
23.38806	B
24.27135	B
20.9552	B
29.63321	B
25.35347	B
29.38996	B
17.82669	B
27.87755	B
23.40487	B
32.02936	B
28.57462	B
32.44551	B
25.92111	B
31.36365	B
27.4341	B
16.891	B
28.58179	B
24.75652	B
27.9327	B
28.7529	B
25.62206	B
23.56552	B
23.08194	B
22.88308	B
17.25769	B
29.86668	B
30.05387	B
23.35198	B
21.43363	B
22.10865	B
28.06292	B
22.74691	B
21.86922	B
20.94718	B
26.0353	B
16.06792	B
30.2029	B
26.30017	B
30.51081	B
15.18989	B
27.29669	B
30.14747	B
23.99693	B
23.05739	B
28.78991	B
29.3669	B
26.98399	B
24.55058	B
24.88922	B
18.89952	B
26.95935	B
34.19588	B
24.66259	B
27.19062	B
23.2039	B
19.50692	B
17.15765	B
27.53538	B
29.07388	B
30.81347	B
21.8908	B
14.76077	B
21.59737	B
20.59379	B
25.92797	B
